	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
92	Surface 15	27823	9.665	-166.683	-1.84	-315.835	-54.0212	0.775759	15.4228	5.76572	1.80548	-3.64142	-2.50578
93	Surface 15	27830	9.665	-172.251	-1.84	-314.8	-54.4355	4.05363	16.9038	5.91342	1.11393	-1.81995	-2.58709
94	Surface 15	28043	9.665	-166.683	-0.92	-218.464	-26.8058	0.907484	16.8314	2.81795	1.62454	-3.0413	-2.52068
95	Surface 15	28051	9.665	-172.251	-0.92	-218.539	-27.121	3.49539	18.3248	2.86918	1.00364	-1.52219	-2.5728
96	Surface 15	28265	9.665	-166.683	0.0	-121.775	-3.77199	0.672113	17.9892	1.46244	1.4404	-7.39189	-2.27969
97	Surface 15	28271	9.665	-172.251	0.0	-124.615	-4.259	2.6675	19.4528	1.46267	0.891556	-4.26975	-2.27513
98	Surface 17	27058	9.665	-159.181	-4.6	-584.778	-140.975	-6.18201	7.49428	7.39065	2.42339	-2.1205	2.99671
99	Surface 17	27069	9.665	-160.983	-4.6	-584.379	-140.809	-6.41444	8.2746	7.52428	2.24091	-3.27821	2.99724
100	Surface 17	27365	9.665	-159.181	-3.68	-502.135	-110.326	-4.78345	9.34835	8.71582	2.46888	-2.31303	0.686534
101	Surface 17	27372	9.665	-160.983	-3.68	-501.668	-110.202	-5.16928	10.1593	8.84832	2.27714	-3.27865	0.663163
102	Surface 17	27586	9.665	-159.181	-2.76	-412.984	-81.6799	-3.34646	10.8753	7.81722	2.54871	-2.45059	-1.51096
103	Surface 17	27591	9.665	-160.983	-2.76	-412.553	-81.6365	-3.88591	11.7112	7.93409	2.3475	-3.20941	-1.5627
104	Surface 17	27807	9.665	-159.181	-1.84	-318.185	-53.6918	-1.96402	12.2124	5.4412	2.70703	-2.5173	-2.44647
105	Surface 17	27813	9.665	-160.983	-1.84	-317.588	-53.7056	-2.71061	13.0668	5.51988	2.4966	-3.06041	-2.5305
106	Surface 17	28026	9.665	-159.181	-0.92	-219.482	-26.5135	-1.0609	13.5504	2.66714	2.43179	-2.52625	-2.46725
107	Surface 17	28031	9.665	-160.983	-0.92	-219.728	-26.6622	-2.03886	14.4353	2.69679	2.24022	-2.84649	-2.565
108	Surface 17	28245	9.665	-159.181	0.0	-117.317	-2.79568	-0.84757	14.7467	1.40645	2.16962	-9.92941	-2.2693
109	Surface 17	28253	9.665	-160.983	0.0	-115.903	-2.53654	-2.23709	15.6126	1.40536	2.02942	-9.55529	-2.36495
110	Surface 24	27063	9.665	-20.819	-4.6	-583.537	-138.726	5.19227	8.39929	7.87581	-1.45575	1.63182	2.82582
111	Surface 24	27071	9.665	-19.0166	-4.6	-583.319	-138.902	5.68209	9.04227	7.99022	-1.31512	2.78545	2.80243
112	Surface 24	27370	9.665	-20.819	-3.68	-501.362	-108.926	4.40171	10.0555	9.12578	-1.50398	1.75947	0.416047
113	Surface 24	27375	9.665	-19.0166	-3.68	-501.097	-109.046	5.00686	10.719	9.22837	-1.35991	2.73424	0.381205
114	Surface 24	27589	9.665	-20.819	-2.76	-413.09	-80.9461	3.54254	11.35	8.0894	-1.59961	1.87283	-1.84982
115	Surface 24	27594	9.665	-19.0166	-2.76	-412.846	-81.0508	4.24049	12.0335	8.17376	-1.44824	2.65395	-1.89763
116	Surface 24	27810	9.665	-20.819	-1.84	-319.733	-53.4115	2.59225	12.4419	5.55733	-1.76396	1.96396	-2.77179
117	Surface 24	27814	9.665	-19.0166	-1.84	-319.254	-53.4953	3.42035	13.1439	5.61111	-1.60283	2.5394	-2.83789
118	Surface 24	28029	9.665	-20.819	-0.92	-223.109	-26.4534	1.70224	13.5403	2.67795	-1.63264	2.03023	-2.65783
119	Surface 24	28036	9.665	-19.0166	-0.92	-223.299	-26.6267	2.69663	14.2723	2.69681	-1.48264	2.38763	-2.73408
120	Surface 24	28248	9.665	-20.819	0.0	-123.596	-3.07896	1.3037	14.639	1.38976	-1.49674	7.24441	-2.36049
121	Surface 24	28255	9.665	-19.0166	0.0	-121.903	-2.81139	2.66492	15.3575	1.38695	-1.3859	7.0214	-2.43685
122	Surface 26	27090	9.665	-13.3169	-4.6	-581.28	-139.442	2.10411	10.7506	8.30787	-0.885613	4.62687	2.90432
123	Surface 26	27104	9.665	-7.74887	-4.6	-579.98	-139.885	-1.49333	11.7442	8.49157	-0.442496	2.08215	2.93464
124	Surface 26	27388	9.665	-13.3169	-3.68	-499.092	-109.481	1.45761	12.4861	9.52017	-0.916998	4.2174	0.474828
125	Surface 26	27394	9.665	-7.74887	-3.68	-497.808	-109.877	-2.04905	13.5167	9.68762	-0.462543	1.9094	0.492762
126	Surface 26	27606	9.665	-13.3169	-2.76	-410.876	-81.453	0.74638	13.8584	8.4185	-0.978319	3.75521	-1.82083
127	Surface 26	27612	9.665	-7.74887	-2.76	-409.673	-81.8749	-2.60909	14.9243	8.55618	-0.499094	1.71123	-1.82221
128	Surface 26	27827	9.665	-13.3169	-1.84	-317.688	-53.9763	0.123631	15.0233	5.77676	-1.08844	3.22877	-2.78357
129	Surface 26	27833	9.665	-7.74887	-1.84	-316.668	-54.4907	-3.09653	16.1227	5.86101	-0.561403	1.48845	-2.81426
130	Surface 26	28046	9.665	-13.3169	-0.92	-221.722	-26.8197	-0.220879	16.2122	2.77819	-1.01448	2.69028	-2.65964
131	Surface 26	28053	9.665	-7.74887	-0.92	-221.392	-27.1695	-2.82812	17.3497	2.80269	-0.531508	1.24217	-2.66973
132	Surface 26	28268	9.665	-13.3169	0.0	-126.546	-3.9408	-0.246779	17.2896	1.42379	-0.927661	5.37267	-2.33144
133	Surface 26	28272	9.665	-7.74887	0.0	-128.413	-4.38243	-2.27646	18.4125	1.41559	-0.493691	2.69142	-2.29798
134	Surface 27	27104	9.665	-7.74887	-4.6	-579.98	-139.885	-1.49333	11.7442	8.49157	-0.442496	2.08215	2.93464
135	Surface 27	27114	9.665	7.01648E-15	-4.6	-579.646	-140.168	2.31822	12.0885	8.5537	0.259098	-0.545466	2.95035
136	Surface 27	27394	9.665	-7.74887	-3.68	-497.808	-109.877	-2.04905	13.5167	9.68762	-0.462543	1.9094	0.492762
137	Surface 27	27400	9.665	4.20989E-15	-3.68	-497.459	-110.117	2.53403	13.8753	9.74208	0.262935	-0.482109	0.501527
138	Surface 27	27612	9.665	-7.74887	-2.76	-409.673	-81.8749	-2.60909	14.9243	8.55618	-0.499094	1.71123	-1.82221
139	Surface 27	27619	9.665	1.4033E-15	-2.76	-409.323	-82.0485	2.73549	15.2963	8.59515	0.268783	-0.412954	-1.82321
140	Surface 27	27833	9.665	-7.74887	-1.84	-316.668	-54.4907	-3.09653	16.1227	5.86101	-0.561403	1.48845	-2.81426
