	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
120	Surface 24	28248	9.665	-20.819	0.0	-118.401	-2.42777	2.21153	5.65577	1.11071	-2.94723	13.0507	-1.99593
121	Surface 24	28255	9.665	-19.0166	0.0	-116.199	-2.1902	3.42601	6.70135	1.10957	-2.90709	13.0284	-2.09633
122	Surface 26	27090	9.665	-13.3169	-4.6	-585.733	-146.615	8.14985	3.73831	7.3758	-2.90455	5.03573	2.49047
123	Surface 26	27104	9.665	-7.74887	-4.6	-583.948	-145.192	3.04893	5.48877	7.48997	-2.59742	2.79224	2.7703
124	Surface 26	27388	9.665	-13.3169	-3.68	-504.019	-114.975	6.99209	5.24447	8.46171	-3.09302	4.89818	0.230229
125	Surface 26	27394	9.665	-7.74887	-3.68	-501.788	-113.727	1.71999	7.21238	8.65728	-2.72435	2.82996	0.509869
126	Surface 26	27606	9.665	-13.3169	-2.76	-415.918	-85.1005	5.22741	6.48196	7.38732	-3.24916	4.71393	-1.81383
127	Surface 26	27612	9.665	-7.74887	-2.76	-413.16	-84.3284	0.0816032	8.65176	7.64614	-2.82051	2.81189	-1.59367
128	Surface 26	27827	9.665	-13.3169	-1.84	-321.657	-55.9283	2.92716	7.60589	4.98538	-3.40601	4.38983	-2.5034
129	Surface 26	27833	9.665	-7.74887	-1.84	-318.609	-55.7809	-1.73201	9.94373	5.22993	-2.92222	2.69132	-2.41992
130	Surface 26	28046	9.665	-13.3169	-0.92	-222.216	-27.5982	0.80769	8.80957	2.37462	-2.97165	3.89669	-2.29422
131	Surface 26	28053	9.665	-7.74887	-0.92	-220.166	-27.6941	-2.56677	11.2837	2.51008	-2.53398	2.4531	-2.30846
132	Surface 26	28268	9.665	-13.3169	0.0	-120.509	-3.4918	-0.036722	9.98281	1.24601	-2.55814	11.8426	-2.00818
133	Surface 26	28272	9.665	-7.74887	0.0	-122.054	-4.01802	-2.43145	12.4453	1.29348	-2.16859	9.35997	-2.02689
134	Surface 27	27104	9.665	-7.74887	-4.6	-583.948	-145.192	3.04893	5.48877	7.48997	-2.59742	2.79224	2.7703
135	Surface 27	27114	9.665	7.01648E-15	-4.6	-582.718	-143.626	5.35804	6.91035	7.57066	-1.907	0.399022	3.03479
136	Surface 27	27394	9.665	-7.74887	-3.68	-501.788	-113.727	1.71999	7.21238	8.65728	-2.72435	2.82996	0.509869
137	Surface 27	27400	9.665	4.20989E-15	-3.68	-500.207	-112.509	4.78759	8.80131	8.83099	-1.96047	0.601957	0.739473
138	Surface 27	27612	9.665	-7.74887	-2.76	-413.16	-84.3284	0.0816032	8.65176	7.64614	-2.82051	2.81189	-1.59367
139	Surface 27	27619	9.665	1.4033E-15	-2.76	-411.265	-83.5208	4.12587	10.3811	7.87012	-1.98802	0.76864	-1.45053
140	Surface 27	27833	9.665	-7.74887	-1.84	-318.609	-55.7809	-1.73201	9.94373	5.22993	-2.92222	2.69132	-2.41992
141	Surface 27	27840	9.665	1.4033E-15	-1.84	-316.759	-55.3369	3.45692	11.7818	5.42215	-2.02028	0.877848	-2.39043
142	Surface 27	28053	9.665	-7.74887	-0.92	-220.166	-27.6941	-2.56677	11.2837	2.51008	-2.53398	2.4531	-2.30846
143	Surface 27	28060	9.665	4.20989E-15	-0.92	-218.874	-27.5103	2.47965	13.2147	2.61481	-1.71731	0.966917	-2.33882
144	Surface 27	28272	9.665	-7.74887	0.0	-122.054	-4.01802	-2.43145	12.4453	1.29348	-2.16859	9.35997	-2.02689
145	Surface 27	28280	9.665	0.0	0.0	-121.801	-4.06011	1.72475	14.391	1.3451	-1.43908	5.77114	-2.05927
146	Surface 30	25876	9.665	7.01648E-15	-9.9	-1.05213E3	-329.839	7.85748	-12.3122	-46.3997	-1.10874	-0.719118	25.2829
147	Surface 30	25882	9.665	6.11244	-9.9	-1.05232E3	-328.171	1.1936	-12.1811	-46.5982	-0.708548	-1.45698	25.309
148	Surface 30	25889	9.665	12.2246	-9.9	-1.0527E3	-326.129	-1.89488	-12.4609	-46.8668	-0.239021	-3.31477	25.4429
149	Surface 30	25897	9.665	18.3371	-9.9	-1.05324E3	-323.378	3.01999	-12.9864	-47.1381	0.294001	-6.46286	25.3428
150	Surface 30	26164	9.665	7.01648E-15	-8.84	-934.807	-292.365	7.18419	-6.64981	-27.493	-1.29012	-0.512993	19.3859
151	Surface 30	26168	9.665	6.11242	-8.84	-935.022	-290.663	1.28501	-6.41346	-27.6678	-0.860464	-1.24564	19.4365
152	Surface 30	26171	9.665	12.2246	-8.84	-935.307	-288.71	-1.69085	-6.65185	-27.9069	-0.363157	-2.9758	19.5621
153	Surface 30	26177	9.665	18.3371	-8.84	-935.952	-286.214	1.835	-7.16915	-28.1527	0.179205	-5.84237	19.478
154	Surface 30	26384	9.665	7.01648E-15	-7.78	-840.81	-254.453	6.5969	-1.76194	-11.1612	-1.48216	-0.304473	12.2591
155	Surface 30	26387	9.665	6.11241	-7.78	-841.018	-252.765	1.18404	-1.40996	-11.3003	-1.01043	-1.05247	12.3341
156	Surface 30	26392	9.665	12.2246	-7.78	-841.21	-250.953	-1.68687	-1.60403	-11.5016	-0.474814	-2.69952	12.4545
157	Surface 30	26396	9.665	18.3371	-7.78	-841.958	-248.785	0.995515	-2.11521	-11.7148	0.0887969	-5.35619	12.381
158	Surface 30	26604	9.665	7.01648E-15	-6.72	-755.669	-216.917	6.19393	1.75729	-1.38672	-1.65748	-0.0830577	7.09494
159	Surface 30	26608	9.665	6.11241	-6.72	-755.793	-215.321	1.00613	2.23078	-1.47425	-1.13716	-0.861502	7.18725
160	Surface 30	26612	9.665	12.2246	-6.72	-755.911	-213.712	-1.70792	2.07785	-1.62999	-0.558248	-2.44909	7.30639
161	Surface 30	26618	9.665	18.3371	-6.72	-756.707	-211.897	0.860871	1.56532	-1.80684	0.0362539	-4.92823	7.23453
162	Surface 30	26822	9.665	7.01648E-15	-5.66	-671.066	-179.704	5.80751	4.50018	4.21979	-1.8036	0.154814	4.49706
163	Surface 30	26827	9.665	6.11242	-5.66	-671.039	-178.286	0.750497	5.09458	4.19935	-1.23105	-0.667118	4.59596
164	Surface 30	26832	9.665	12.2246	-5.66	-671.085	-176.93	-1.73065	4.97458	4.0963	-0.608421	-2.20451	4.71163
165	Surface 30	26838	9.665	18.3371	-5.66	-671.895	-175.477	1.16052	4.45085	3.95916	0.0197103	-4.51185	4.63544
166	Surface 30	27114	9.665	7.01648E-15	-4.6	-582.718	-143.626	5.35804	6.91035	7.57066	-1.907	0.399022	3.03479
167	Surface 30	27118	9.665	6.11244	-4.6	-582.474	-142.449	0.440362	7.61535	7.62389	-1.28392	-0.474995	3.12364
168	Surface 30	27124	9.665	12.2246	-4.6	-582.463	-141.368	-1.72306	7.51484	7.57331	-0.621746	-1.95939	3.22864
169	Surface 30	27135	9.665	18.3371	-4.6	-583.277	-140.244	1.75587	6.96861	7.47515	0.0383369	-4.08384	3.14437
170	Surface 31	25897	9.665	18.3371	-9.9	-1.05324E3	-323.378	3.01999	-12.9864	-47.1381	0.294001	-6.46286	25.3428
171	Surface 31	25909	9.665	20.819	-9.9	-1.05389E3	-322.075	-5.71255	-13.4793	-47.3002	0.436814	-5.05297	25.3339
172	Surface 31	26177	9.665	18.3371	-8.84	-935.952	-286.214	1.835	-7.16915	-28.1527	0.179205	-5.84237	19.478
173	Surface 31	26182	9.665	20.819	-8.84	-936.724	-285.072	-5.36096	-7.67339	-28.3065	0.351269	-4.64213	19.4723
174	Surface 31	26396	9.665	18.3371	-7.78	-841.958	-248.785	0.995515	-2.11521	-11.7148	0.0887969	-5.35619	12.381
175	Surface 31	26403	9.665	20.819	-7.78	-842.844	-247.836	-5.16692	-2.63418	-11.8574	0.286477	-4.32841	12.376
176	Surface 31	26618	9.665	18.3371	-6.72	-756.707	-211.897	0.860871	1.56532	-1.80684	0.0362539	-4.92823	7.23453
177	Surface 31	26622	9.665	20.819	-6.72	-757.644	-211.139	-4.91623	1.02535	-1.93808	0.251877	-4.05822	7.22721
178	Surface 31	26838	9.665	18.3371	-5.66	-671.895	-175.477	1.16052	4.45085	3.95916	0.0197103	-4.51185	4.63544
179	Surface 31	26844	9.665	20.819	-5.66	-672.847	-174.901	-4.58133	3.88287	3.83935	0.24798	-3.79934	4.62368
