	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
70	Surface 13	28275	9.665	-180.0	0.0	-464.037	-4.54933	-1.80858	7.22645	1.37012	-5.67314E-3	0.294753	-2.33575
71	Surface 13	28282	9.665	173.888	0.0	-462.133	-4.09706	0.18516	7.07213	1.37768	-0.364669	2.23081	-2.40766
72	Surface 13	28286	9.665	167.775	0.0	-464.314	-4.55971	0.290323	6.28858	1.37825	-0.714526	4.58747	-2.36529
73	Surface 13	28291	9.665	161.663	0.0	-462.537	-3.97765	-4.66589	5.29736	1.40176	-1.08238	7.3189	-2.48986
74	Surface 14	27096	9.665	-172.251	-4.6	-892.547	-139.282	1.50365	0.948306	7.08695	0.515377	-2.67094	4.1859
75	Surface 14	27108	9.665	-180.0	-4.6	-892.124	-139.47	-2.23807	1.29122	7.14394	-8.55494E-3	0.64272	4.20683
76	Surface 14	27389	9.665	-172.251	-3.68	-818.019	-109.511	2.04606	2.67679	9.34547	0.533511	-2.52041	1.13775
77	Surface 14	27396	9.665	-180.0	-3.68	-817.58	-109.684	-2.41857	3.03634	9.39861	-8.02365E-3	0.581796	1.14997
78	Surface 14	27610	9.665	-172.251	-2.76	-736.088	-81.7206	2.60807	3.91848	8.61285	0.563364	-2.34137	-1.91179
79	Surface 14	27617	9.665	-180.0	-2.76	-735.651	-81.8521	-2.6051	4.29278	8.65292	-7.52038E-3	0.517191	-1.91128
80	Surface 14	27830	9.665	-172.251	-1.84	-647.707	-54.483	3.09161	4.87101	5.89447	0.613482	-2.13445	-3.11617
81	Surface 14	27836	9.665	-180.0	-1.84	-647.389	-54.5472	-2.77995	5.25968	5.9116	-4.68022E-3	0.450013	-3.12016
82	Surface 14	28051	9.665	-172.251	-0.92	-555.572	-27.2333	2.81654	5.83548	2.76604	0.56484	-1.89866	-2.84887
83	Surface 14	28057	9.665	-180.0	-0.92	-555.386	-27.2537	-2.38075	6.24402	2.76671	-6.21974E-3	0.354692	-2.83796
84	Surface 14	28271	9.665	-172.251	0.0	-464.249	-4.55278	2.25751	6.8104	1.37341	0.508441	-3.39574	-2.36033
85	Surface 14	28275	9.665	-180.0	0.0	-464.037	-4.54933	-1.80858	7.22645	1.37012	-5.67314E-3	0.294753	-2.33575
86	Surface 15	27087	9.665	-166.683	-4.6	-894.101	-138.945	-1.44827	0.244201	6.96216	0.827754	-5.9422	4.15264
87	Surface 15	27096	9.665	-172.251	-4.6	-892.547	-139.282	1.50365	0.948306	7.08695	0.515377	-2.67094	4.1859
88	Surface 15	27383	9.665	-166.683	-3.68	-819.57	-109.183	-0.942872	1.93795	9.2279	0.851896	-5.58112	1.11498
89	Surface 15	27389	9.665	-172.251	-3.68	-818.019	-109.511	2.04606	2.67679	9.34547	0.533511	-2.52041	1.13775
90	Surface 15	27605	9.665	-166.683	-2.76	-737.565	-81.3373	-0.37688	3.14699	8.51375	0.895202	-5.16238	-1.91787
91	Surface 15	27610	9.665	-172.251	-2.76	-736.088	-81.7206	2.60807	3.91848	8.61285	0.563364	-2.34137	-1.91179
92	Surface 15	27823	9.665	-166.683	-1.84	-649.002	-53.9873	0.0965629	4.06925	5.83485	0.973102	-4.67423	-3.09568
93	Surface 15	27830	9.665	-172.251	-1.84	-647.707	-54.483	3.09161	4.87101	5.89447	0.613482	-2.13445	-3.11617
94	Surface 15	28043	9.665	-166.683	-0.92	-556.186	-26.8923	0.306133	4.99871	2.75087	0.888249	-4.16297	-2.84866
95	Surface 15	28051	9.665	-172.251	-0.92	-555.572	-27.2333	2.81654	5.83548	2.76604	0.56484	-1.89866	-2.84887
96	Surface 15	28265	9.665	-166.683	0.0	-462.706	-4.12382	0.265628	5.98839	1.383	0.792558	-6.37782	-2.40221
97	Surface 15	28271	9.665	-172.251	0.0	-464.249	-4.55278	2.25751	6.8104	1.37341	0.508441	-3.39574	-2.36033
98	Surface 17	27058	9.665	-159.181	-4.6	-896.555	-138.433	-3.91903	-1.3124	6.68532	1.22759	-0.443531	4.06882
99	Surface 17	27069	9.665	-160.983	-4.6	-896.465	-138.547	-4.40948	-0.89329	6.75767	1.1275	-2.38796	4.04857
100	Surface 17	27365	9.665	-159.181	-3.68	-822.051	-108.761	-3.40918	0.310303	8.96837	1.26351	-0.569723	1.04516
101	Surface 17	27372	9.665	-160.983	-3.68	-821.923	-108.838	-4.00112	0.747731	9.03442	1.16035	-2.35223	1.01552
102	Surface 17	27586	9.665	-159.181	-2.76	-739.995	-80.908	-2.8453	1.45032	8.29235	1.32871	-0.689269	-1.96514
103	Surface 17	27591	9.665	-160.983	-2.76	-739.891	-80.9848	-3.52317	1.90532	8.34777	1.22018	-2.29146	-2.00567
104	Surface 17	27807	9.665	-159.181	-1.84	-651.273	-53.4596	-2.19122	2.3091	5.6874	1.43829	-0.796207	-3.10906
105	Surface 17	27813	9.665	-160.983	-1.84	-650.934	-53.5258	-2.99413	2.78052	5.72287	1.32362	-2.20119	-3.16557
106	Surface 17	28026	9.665	-159.181	-0.92	-557.84	-26.5346	-1.55597	3.15957	2.68428	1.30757	-0.882962	-2.87038
