	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
140	Surface 27	27833	9.665	-7.74887	-1.84	-666.378	-54.9526	1.33347	-11.8528	4.14113	0.303558	0.304767	-2.7172
141	Surface 27	27840	9.665	1.4033E-15	-1.84	-663.802	-55.2169	7.04243	-13.0634	3.9792	0.278843	-1.25427	-2.6359
142	Surface 27	28053	9.665	-7.74887	-0.92	-573.37	-27.5452	-0.490449	-11.2975	1.87746	0.296668	0.13733	-2.32856
143	Surface 27	28060	9.665	4.20989E-15	-0.92	-570.8	-27.6723	4.6179	-12.5072	1.79123	0.286813	-1.12573	-2.21473
144	Surface 27	28272	9.665	-7.74887	0.0	-479.171	-4.36632	-1.11454	-10.38	0.957462	0.306564	-1.13187	-1.86402
145	Surface 27	28280	9.665	0.0	0.0	-476.187	-4.36377	2.9062	-11.5758	0.914656	0.28998	-2.0999	-1.73609
146	Surface 30	25876	9.665	7.01648E-15	-9.9	-1.34852E3	-322.58	25.7141	-33.1554	-61.1518	0.338974	-1.80606	29.017
147	Surface 30	25882	9.665	6.11244	-9.9	-1.34632E3	-323.287	19.3841	-33.5281	-61.2696	0.168609	-1.49886	28.9373
148	Surface 30	25889	9.665	12.2246	-9.9	-1.34464E3	-323.756	16.5653	-33.0983	-61.2306	-3.12152E-3	-2.83937	29.0304
149	Surface 30	25897	9.665	18.3371	-9.9	-1.34374E3	-323.481	21.8341	-32.4121	-61.1065	-0.0470337	-6.15002	29.0237
150	Surface 30	26164	9.665	7.01648E-15	-8.84	-1.22901E3	-285.096	22.6419	-27.4525	-38.9284	0.30229	-1.7145	22.2682
151	Surface 30	26168	9.665	6.11242	-8.84	-1.227E3	-285.655	17.4644	-27.8349	-39.045	0.146823	-1.35904	22.1956
152	Surface 30	26171	9.665	12.2246	-8.84	-1.22534E3	-286.012	14.9586	-27.413	-38.9952	-0.0139671	-2.52086	22.2613
153	Surface 30	26177	9.665	18.3371	-8.84	-1.22462E3	-285.739	18.6406	-26.7231	-38.8628	-0.0717613	-5.5024	22.2569
154	Surface 30	26384	9.665	7.01648E-15	-7.78	-1.13878E3	-247.931	19.626	-22.7035	-19.6937	0.271789	-1.64994	13.7947
155	Surface 30	26387	9.665	6.11241	-7.78	-1.13694E3	-248.336	15.3169	-23.0963	-19.8122	0.132652	-1.26302	13.7301
156	Surface 30	26392	9.665	12.2246	-7.78	-1.13528E3	-248.565	13.1198	-22.6828	-19.7577	-0.0146483	-2.29322	13.7747
157	Surface 30	26396	9.665	18.3371	-7.78	-1.13474E3	-248.299	15.8351	-21.9914	-19.622	-0.0785931	-5.02909	13.7687
158	Surface 30	26604	9.665	7.01648E-15	-6.72	-1.06075E3	-211.445	17.007	-19.6238	-8.13173	0.247092	-1.59772	7.8089
159	Surface 30	26608	9.665	6.11241	-6.72	-1.05901E3	-211.725	13.206	-20.0278	-8.25331	0.12124	-1.18598	7.75097
160	Surface 30	26612	9.665	12.2246	-6.72	-1.05737E3	-211.849	11.3125	-19.6246	-8.19956	-0.012014	-2.10588	7.78732
161	Surface 30	26618	9.665	18.3371	-6.72	-1.05692E3	-211.595	13.8582	-18.9358	-8.06584	-0.0719102	-4.63349	7.77565
162	Surface 30	26822	9.665	7.01648E-15	-5.66	-985.249	-175.491	14.626	-17.4725	-1.12915	0.227417	-1.54516	5.211
163	Surface 30	26827	9.665	6.11242	-5.66	-983.571	-175.665	11.1312	-17.8876	-1.25108	0.111356	-1.11136	5.1603
164	Surface 30	26832	9.665	12.2246	-5.66	-981.933	-175.699	9.53845	-17.4951	-1.19886	-9.05344E-3	-1.92728	5.19683
