	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
83	Surface 14	28057	9.665	-180.0	-0.92	-555.643	-27.2759	-2.44845	5.78313	2.74301	0.0564281	0.313729	-2.82898
84	Surface 14	28271	9.665	-172.251	0.0	-464.543	-4.5549	2.21797	6.30095	1.35948	0.541651	-3.53194	-2.34949
85	Surface 14	28275	9.665	-180.0	0.0	-464.196	-4.54753	-1.83728	6.76236	1.35834	0.0467405	0.0829913	-2.32417
86	Surface 15	27087	9.665	-166.683	-4.6	-894.308	-139.027	-1.69133	-0.13714	6.93784	0.830918	-5.9116	4.10074
87	Surface 15	27096	9.665	-172.251	-4.6	-892.765	-139.385	1.25956	0.558266	7.05074	0.54804	-2.66094	4.14297
88	Surface 15	27383	9.665	-166.683	-3.68	-819.844	-109.267	-1.19372	1.51632	9.18773	0.86331	-5.56081	1.06708
89	Surface 15	27389	9.665	-172.251	-3.68	-818.284	-109.603	1.80907	2.25421	9.29717	0.573287	-2.52059	1.10069
90	Surface 15	27605	9.665	-166.683	-2.76	-737.913	-81.408	-0.612965	2.68756	8.46403	0.912019	-5.15411	-1.95503
91	Surface 15	27610	9.665	-172.251	-2.76	-736.403	-81.7925	2.39651	3.46605	8.55966	0.607664	-2.3523	-1.93773
92	Surface 15	27823	9.665	-166.683	-1.84	-649.424	-54.0355	-0.0957247	3.57539	5.78868	0.992143	-4.6778	-3.11422
93	Surface 15	27830	9.665	-172.251	-1.84	-648.063	-54.5297	2.92878	4.39184	5.8487	0.660022	-2.15498	-3.12556
94	Surface 15	28043	9.665	-166.683	-0.92	-556.657	-26.9176	0.19442	4.47304	2.7224	0.904181	-4.17467	-2.84754
95	Surface 15	28051	9.665	-172.251	-0.92	-555.937	-27.2574	2.72829	5.3317	2.7393	0.604436	-1.92532	-2.84334
96	Surface 15	28265	9.665	-166.683	0.0	-463.143	-4.12954	0.210211	5.45462	1.36768	0.805654	-6.43242	-2.39276
97	Surface 15	28271	9.665	-172.251	0.0	-464.543	-4.5549	2.21797	6.30095	1.35948	0.541651	-3.53194	-2.34949
98	Surface 17	27058	9.665	-159.181	-4.6	-896.718	-138.458	-4.13266	-1.65247	6.68356	1.18344	-0.384541	4.00906
99	Surface 17	27069	9.665	-160.983	-4.6	-896.643	-138.589	-4.63342	-1.24643	6.74991	1.09461	-2.33299	3.99206
100	Surface 17	27365	9.665	-159.181	-3.68	-822.306	-108.814	-3.65888	-0.0795648	8.94658	1.22867	-0.518937	0.985067
101	Surface 17	27372	9.665	-160.983	-3.68	-822.187	-108.901	-4.25392	0.346661	9.00742	1.13657	-2.30633	0.959956
102	Surface 17	27586	9.665	-159.181	-2.76	-740.366	-80.9658	-3.10342	1.01232	8.25417	1.30051	-0.65031	-2.01689
103	Surface 17	27591	9.665	-160.983	-2.76	-740.262	-81.0474	-3.77823	1.45824	8.30596	1.20276	-2.25793	-2.05218
104	Surface 17	27807	9.665	-159.181	-1.84	-651.776	-53.5049	-2.41971	1.82651	5.6456	1.4126	-0.770761	-3.14096
105	Surface 17	27813	9.665	-160.983	-1.84	-651.422	-53.5729	-3.21566	2.29109	5.67931	1.30865	-2.18132	-3.19261
106	Surface 17	28026	9.665	-159.181	-0.92	-558.465	-26.5608	-1.70052	2.63528	2.65555	1.28536	-0.86862	-2.87676
107	Surface 17	28031	9.665	-160.983	-0.92	-558.745	-26.7219	-2.66224	3.12634	2.6663	1.18876	-2.06491	-2.94082
108	Surface 17	28245	9.665	-159.181	0.0	-460.845	-3.29676	-1.35815	3.63677	1.34675	1.15626	-4.9	-2.44401
109	Surface 17	28253	9.665	-160.983	0.0	-459.204	-3.01507	-2.69378	4.11541	1.34165	1.08394	-5.67242	-2.51115
110	Surface 24	27063	9.665	-20.819	-4.6	-896.745	-138.599	4.08788	-1.61954	6.63075	-1.29964	0.436185	4.04671
111	Surface 24	27071	9.665	-19.0166	-4.6	-896.648	-138.702	4.56459	-1.20091	6.70086	-1.20352	2.38297	4.03025
112	Surface 24	27370	9.665	-20.819	-3.68	-822.244	-108.881	3.55149	-0.0122587	8.91031	-1.33926	0.572085	1.03209
113	Surface 24	27375	9.665	-19.0166	-3.68	-822.107	-108.95	4.1302	0.42638	8.97565	-1.23958	2.3565	1.00578
114	Surface 24	27589	9.665	-20.819	-2.76	-740.182	-80.9861	2.95482	1.11556	8.23883	-1.40529	0.699733	-1.96772
115	Surface 24	27594	9.665	-19.0166	-2.76	-740.067	-81.0578	3.62118	1.57324	8.29466	-1.30003	2.30336	-2.00572
116	Surface 24	27810	9.665	-20.819	-1.84	-651.43	-53.5023	2.26191	1.96461	5.64763	-1.51406	0.812253	-3.10136
117	Surface 24	27814	9.665	-19.0166	-1.84	-651.078	-53.566	3.05633	2.43997	5.68398	-1.40273	2.21814	-3.15645
118	Surface 24	28029	9.665	-20.819	-0.92	-557.925	-26.5534	1.58703	2.80616	2.66367	-1.37002	0.9017	-2.85852
119	Surface 24	28036	9.665	-19.0166	-0.92	-558.226	-26.7127	2.55052	3.30733	2.67553	-1.26724	2.09344	-2.92545
120	Surface 24	28248	9.665	-20.819	0.0	-460.103	-3.27082	1.28989	3.81877	1.35354	-1.22601	5.15926	-2.43874
121	Surface 24	28255	9.665	-19.0166	0.0	-458.505	-2.98974	2.62993	4.30696	1.3488	-1.14882	5.91362	-2.50811
122	Surface 26	27090	9.665	-13.3169	-4.6	-894.26	-139.067	1.55981	-0.0573321	6.90128	-0.915001	5.94811	4.14243
