	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
108	Surface 17	28245	9.665	-159.181	0.0	-129.532	-2.84778	-1.23606	-2.74789	1.00153	0.405141	-1.95001	-1.95361
109	Surface 17	28253	9.665	-160.983	0.0	-128.042	-2.5568	-2.6438	-2.53062	0.991884	0.401018	-2.29754	-2.01657
110	Surface 24	27063	9.665	-20.819	-4.6	-588.697	-137.248	0.285528	-2.34215	5.92399	0.0745177	-1.04118	2.56858
111	Surface 24	27071	9.665	-19.0166	-4.6	-588.813	-137.261	0.991523	-2.44869	5.90766	0.108701	0.235892	2.51806
112	Surface 24	27370	9.665	-20.819	-3.68	-507.014	-108.103	0.46801	-1.04795	7.31135	0.0876445	-0.944858	0.268081
113	Surface 24	27375	9.665	-19.0166	-3.68	-507.118	-108.12	1.24254	-1.1537	7.29618	0.124419	0.15487	0.216178
114	Surface 24	27589	9.665	-20.819	-2.76	-419.212	-80.5848	0.674976	-0.0997378	6.53583	0.103217	-0.839883	-1.84957
115	Surface 24	27594	9.665	-19.0166	-2.76	-419.373	-80.6314	1.49272	-0.205455	6.52304	0.143413	0.0674394	-1.90141
116	Surface 24	27810	9.665	-20.819	-1.84	-326.13	-53.3344	0.882244	0.661069	4.43935	0.124791	-0.720864	-2.58745
117	Surface 24	27814	9.665	-19.0166	-1.84	-326.072	-53.3891	1.78309	0.556845	4.42901	0.16828	-0.0222728	-2.64081
118	Surface 24	28029	9.665	-20.819	-0.92	-229.258	-26.5095	1.08322	1.41061	2.10184	0.121147	-0.597661	-2.37193
119	Surface 24	28036	9.665	-19.0166	-0.92	-229.879	-26.6709	2.11263	1.3095	2.09851	0.15969	-0.12481	-2.42191
120	Surface 24	28248	9.665	-20.819	0.0	-128.232	-2.93092	1.24235	2.44694	1.1127	0.124513	-0.880464	-2.07272
121	Surface 24	28255	9.665	-19.0166	0.0	-126.828	-2.62796	2.64457	2.3331	1.11342	0.167929	-0.674694	-2.11864
122	Surface 26	27090	9.665	-13.3169	-4.6	-587.806	-137.379	-1.57116	-2.98801	5.82106	0.157171	2.67504	2.61397
123	Surface 26	27104	9.665	-7.74887	-4.6	-587.266	-137.511	-4.01799	-3.6146	5.71923	0.176315	0.746135	2.61537
124	Surface 26	27388	9.665	-13.3169	-3.68	-506.244	-108.308	-1.4918	-1.69401	7.21789	0.175397	2.24526	0.315262
125	Surface 26	27394	9.665	-7.74887	-3.68	-505.792	-108.524	-4.07267	-2.32491	7.12542	0.194461	0.561003	0.317092
126	Surface 26	27606	9.665	-13.3169	-2.76	-418.622	-80.9184	-1.41165	-0.746795	6.45383	0.199815	1.77995	-1.79999
