	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
131	Surface 26	28053	9.665	-7.74887	-0.92	-104.446	-27.227	-3.02818	10.457	2.34943	-0.527813	0.722898	-2.30959
132	Surface 26	28268	9.665	-13.3169	0.0	-6.88922	-3.72091	-0.314863	10.7855	1.22605	-0.745545	3.51399	-2.05486
133	Surface 26	28272	9.665	-7.74887	0.0	-9.18944	-4.17347	-2.38924	11.5264	1.2153	-0.47464	2.09705	-2.01087
134	Surface 27	27104	9.665	-7.74887	-4.6	-470.718	-138.93	-2.16007	5.33469	7.0779	-0.499115	1.58263	2.50033
135	Surface 27	27114	9.665	7.01648E-15	-4.6	-470.425	-139.106	2.43845	5.62716	7.13466	0.0245093	-0.32609	2.517
136	Surface 27	27394	9.665	-7.74887	-3.68	-386.146	-109.384	-2.62105	6.94012	8.13091	-0.509687	1.40414	0.333944
137	Surface 27	27400	9.665	4.20989E-15	-3.68	-385.85	-109.553	2.5941	7.24547	8.18292	0.0278429	-0.260591	0.341486
138	Surface 27	27612	9.665	-7.74887	-2.76	-296.062	-81.6856	-3.06908	8.22664	7.16729	-0.531676	1.20094	-1.62588
139	Surface 27	27619	9.665	1.4033E-15	-2.76	-295.783	-81.8169	2.74407	8.54285	7.20517	0.0303532	-0.192563	-1.6299
140	Surface 27	27833	9.665	-7.74887	-1.84	-201.411	-54.4803	-3.43606	9.33447	4.90477	-0.574243	0.974534	-2.43372
141	Surface 27	27840	9.665	1.4033E-15	-1.84	-201.268	-54.5434	2.89817	9.66138	4.91932	0.0305089	-0.122479	-2.44055
142	Surface 27	28053	9.665	-7.74887	-0.92	-104.446	-27.227	-3.02818	10.457	2.34943	-0.527813	0.722898	-2.30959
143	Surface 27	28060	9.665	4.20989E-15	-0.92	-104.449	-27.2467	2.47485	10.8007	2.3481	0.0304451	-0.0227265	-2.29893
144	Surface 27	28272	9.665	-7.74887	0.0	-9.18944	-4.17347	-2.38924	11.5264	1.2153	-0.47464	2.09705	-2.01087
145	Surface 27	28280	9.665	0.0	0.0	-9.16005	-4.16866	1.88542	11.8769	1.21061	0.02852	-0.0376131	-1.98539
146	Surface 30	25876	9.665	7.01648E-15	-9.9	-952.14	-316.683	3.471	-12.6503	-44.2156	0.038263	-0.718342	23.7309
147	Surface 30	25882	9.665	6.11244	-9.9	-952.347	-316.399	-1.55093	-12.765	-44.2404	0.401661	-1.3745	23.6638
148	Surface 30	25889	9.665	12.2246	-9.9	-952.806	-315.967	-3.04077	-13.188	-44.3441	0.766412	-3.01669	23.708
149	Surface 30	25897	9.665	18.3371	-9.9	-953.443	-314.988	3.19597	-13.7631	-44.4712	1.15403	-5.80926	23.5509
150	Surface 30	26164	9.665	7.01648E-15	-8.84	-833.875	-280.699	2.83686	-7.21133	-26.4033	0.0300227	-0.620855	18.3136
151	Surface 30	26168	9.665	6.11242	-8.84	-834.171	-280.446	-1.42721	-7.33592	-26.4304	0.395708	-1.26277	18.2545
152	Surface 30	26171	9.665	12.2246	-8.84	-834.606	-280.056	-2.80666	-7.80246	-26.5358	0.757234	-2.75881	18.2827
153	Surface 30	26177	9.665	18.3371	-8.84	-835.366	-279.199	2.10915	-8.42573	-26.6691	1.12665	-5.24927	18.1382
154	Surface 30	26384	9.665	7.01648E-15	-7.78	-737.549	-244.528	2.42342	-2.50542	-10.8627	0.0238319	-0.540748	11.7455
155	Surface 30	26387	9.665	6.11241	-7.78	-737.933	-244.313	-1.31139	-2.6404	-10.8921	0.392117	-1.18027	11.6926
156	Surface 30	26392	9.665	12.2246	-7.78	-738.354	-243.967	-2.58423	-3.15004	-11.0011	0.751801	-2.56514	11.7087
157	Surface 30	26396	9.665	18.3371	-7.78	-739.242	-243.248	1.51145	-3.82194	-11.1418	1.10894	-4.81587	11.5743
158	Surface 30	26604	9.665	7.01648E-15	-6.72	-649.497	-208.795	2.29356	0.883701	-1.40128	0.0216265	-0.468974	6.84206
159	Surface 30	26608	9.665	6.11241	-6.72	-649.923	-208.619	-1.18163	0.737485	-1.43254	0.390308	-1.10909	6.79205
160	Surface 30	26612	9.665	12.2246	-6.72	-650.357	-208.318	-2.33124	0.184247	-1.54688	0.749048	-2.39607	6.80474
161	Surface 30	26618	9.665	18.3371	-6.72	-651.32	-207.728	1.60668	-0.53768	-1.69565	1.10268	-4.4318	6.677
162	Surface 30	26822	9.665	7.01648E-15	-5.66	-561.795	-173.432	2.32417	3.46421	4.03228	0.022135	-0.398512	4.14756
163	Surface 30	26827	9.665	6.11242	-5.66	-562.233	-173.289	-1.02641	3.30643	4.00013	0.390077	-1.03719	4.09926
164	Surface 30	26832	9.665	12.2246	-5.66	-562.685	-173.026	-2.02961	2.71026	3.88152	0.748761	-2.22573	4.11557
165	Surface 30	26838	9.665	18.3371	-5.66	-563.683	-172.546	2.12768	1.9386	3.72819	1.10465	-4.04682	3.99591
166	Surface 30	27114	9.665	7.01648E-15	-4.6	-470.425	-139.106	2.43845	5.62716	7.13466	0.0245093	-0.32609	2.517
167	Surface 30	27118	9.665	6.11244	-4.6	-470.847	-138.982	-0.845586	5.45807	7.10349	0.39291	-0.956627	2.47078
168	Surface 30	27124	9.665	12.2246	-4.6	-471.324	-138.744	-1.68045	4.82086	6.98433	0.753896	-2.03768	2.49584
169	Surface 30	27135	9.665	18.3371	-4.6	-472.326	-138.34	2.90139	4.00159	6.83392	1.11709	-3.63168	2.38829
170	Surface 31	25897	9.665	18.3371	-9.9	-953.443	-314.988	3.19597	-13.7631	-44.4712	1.15403	-5.80926	23.5509
171	Surface 31	25909	9.665	20.819	-9.9	-954.034	-314.421	-4.75215	-14.2492	-44.5747	1.21056	-4.50047	23.5195
172	Surface 31	26177	9.665	18.3371	-8.84	-835.366	-279.199	2.10915	-8.42573	-26.6691	1.12665	-5.24927	18.1382
173	Surface 31	26182	9.665	20.819	-8.84	-836.092	-278.723	-4.41539	-8.94842	-26.7792	1.19717	-4.13843	18.1087
174	Surface 31	26396	9.665	18.3371	-7.78	-739.242	-243.248	1.51145	-3.82194	-11.1418	1.10894	-4.81587	11.5743
175	Surface 31	26403	9.665	20.819	-7.78	-740.092	-242.873	-4.07074	-4.38187	-11.2582	1.18848	-3.86528	11.5454
176	Surface 31	26618	9.665	18.3371	-6.72	-651.32	-207.728	1.60668	-0.53768	-1.69565	1.10268	-4.4318	6.677
177	Surface 31	26622	9.665	20.819	-6.72	-652.232	-207.444	-3.66285	-1.13587	-1.81808	1.18463	-3.62504	6.64756
178	Surface 31	26838	9.665	18.3371	-5.66	-563.683	-172.546	2.12768	1.9386	3.72819	1.10465	-4.04682	3.99591
179	Surface 31	26844	9.665	20.819	-5.66	-564.614	-172.339	-3.18074	1.30202	3.60148	1.18613	-3.38203	3.9661
