	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
103	Surface 17	27591	9.665	-160.983	-2.76	-303.286	-80.5714	-1.80005	-2.29562	5.73368	-5.16061E-3	-0.305207	-1.78746
104	Surface 17	27807	9.665	-159.181	-1.84	-208.426	-53.3328	-1.01702	-1.54598	3.88154	0.0200847	0.252474	-2.32845
105	Surface 17	27813	9.665	-160.983	-1.84	-208.309	-53.3926	-1.95073	-1.54771	3.87759	-41.5344E-6	-0.204533	-2.38553
106	Surface 17	28026	9.665	-159.181	-0.92	-110.067	-26.5309	-1.12701	-0.819216	1.83956	0.0233778	0.139484	-2.14063
107	Surface 17	28031	9.665	-160.983	-0.92	-110.651	-26.7001	-2.17789	-0.81657	1.83606	6.04675E-3	-0.0859472	-2.19624
108	Surface 17	28245	9.665	-159.181	0.0	-7.3288	-2.7627	-1.24908	0.236365	0.996598	0.0191931	-0.0724621	-1.90043
109	Surface 17	28253	9.665	-160.983	0.0	-5.87515	-2.46298	-2.67027	0.224916	0.992812	0.534825E-3	-0.0979807	-1.95296
110	Surface 24	27063	9.665	-20.819	-4.6	-477.356	-136.824	0.802146	-4.4142	5.37263	-0.0176938	-0.557864	2.1004
111	Surface 24	27071	9.665	-19.0166	-4.6	-477.417	-136.849	1.59926	-4.41861	5.3725	-0.30594E-3	0.493887	2.05096
112	Surface 24	27370	9.665	-20.819	-3.68	-393.094	-107.903	0.858999	-3.21456	6.4886	-0.0161897	-0.460357	0.0594077
113	Surface 24	27375	9.665	-19.0166	-3.68	-393.139	-107.928	1.70642	-3.21731	6.48764	2.42852E-3	0.408016	7.06037E-3
114	Surface 24	27589	9.665	-20.819	-2.76	-303.197	-80.5176	0.937413	-2.31401	5.73195	-0.0184084	-0.357919	-1.73425
115	Surface 24	27594	9.665	-19.0166	-2.76	-303.298	-80.5698	1.80726	-2.31592	5.73027	1.55366E-3	0.312634	-1.78812
116	Surface 24	27810	9.665	-20.819	-1.84	-208.441	-53.3322	1.02067	-1.56979	3.87878	-0.0239401	-0.245468	-2.32853
117	Surface 24	27814	9.665	-19.0166	-1.84	-208.323	-53.3921	1.95463	-1.56933	3.87496	-4.20066E-3	0.211774	-2.38566
118	Surface 24	28029	9.665	-20.819	-0.92	-110.083	-26.5308	1.12807	-0.844316	1.83804	-0.0271273	-0.132729	-2.14023
119	Surface 24	28036	9.665	-19.0166	-0.92	-110.667	-26.7001	2.17906	-0.839466	1.83454	-0.0101051	0.0929368	-2.19592
120	Surface 24	28248	9.665	-20.819	0.0	-7.34553	-2.76271	1.24898	0.210927	0.995795	-0.0227974	0.0915017	-1.89986
121	Surface 24	28255	9.665	-19.0166	0.0	-5.8914	-2.4631	2.67016	0.20166	0.991943	-4.48684E-3	0.118123	-1.95249
122	Surface 26	27090	9.665	-13.3169	-4.6	-476.39	-136.993	-0.843488	-4.44508	5.3723	-0.0101008	2.55354	2.14173
123	Surface 26	27104	9.665	-7.74887	-4.6	-475.71	-137.16	-3.2017	-4.46542	5.37303	-0.0416967	1.09347	2.14275
124	Surface 26	27388	9.665	-13.3169	-3.68	-392.243	-108.125	-0.943751	-3.23851	6.48837	-8.01957E-3	2.10764	0.0989627
125	Surface 26	27394	9.665	-7.74887	-3.68	-391.641	-108.354	-3.46283	-3.25477	6.48972	-0.0421745	0.901629	0.0965146
126	Surface 26	27606	9.665	-13.3169	-2.76	-302.523	-80.8553	-1.04747	-2.33209	5.72841	-8.82552E-3	1.62429	-1.69707
127	Surface 26	27612	9.665	-7.74887	-2.76	-302.061	-81.1976	-3.69094	-2.34604	5.72701	-0.0451818	0.690679	-1.70534
128	Surface 26	27827	9.665	-13.3169	-1.84	-208.021	-53.8464	-0.995572	-1.58557	3.86182	-0.0187833	1.09676	-2.29753
129	Surface 26	27833	9.665	-7.74887	-1.84	-207.791	-54.3478	-3.82098	-1.59856	3.84728	-0.0558182	0.464228	-2.31689
130	Surface 26	28046	9.665	-13.3169	-0.92	-110.328	-26.903	-0.679966	-0.838922	1.81794	-0.0305739	0.555121	-2.08239
131	Surface 26	28053	9.665	-7.74887	-0.92	-110.82	-27.2646	-3.18899	-0.840663	1.79743	-0.068703	0.211993	-2.06604
132	Surface 26	28268	9.665	-13.3169	0.0	-11.875	-3.63339	-0.360498	0.172435	0.970394	-0.0316077	0.195685	-1.81235
133	Surface 26	28272	9.665	-7.74887	0.0	-14.5922	-4.08642	-2.43241	0.148375	0.948061	-0.0719463	0.262671	-1.74696
134	Surface 27	27104	9.665	-7.74887	-4.6	-475.71	-137.16	-3.2017	-4.46542	5.37303	-0.0416967	1.09347	2.14275
135	Surface 27	27114	9.665	7.01648E-15	-4.6	-475.558	-137.258	2.36173	-4.46391	5.37781	0.038487	-0.350491	2.14701
136	Surface 27	27394	9.665	-7.74887	-3.68	-391.641	-108.354	-3.46283	-3.25477	6.48972	-0.0421745	0.901629	0.0965146
137	Surface 27	27400	9.665	4.20989E-15	-3.68	-391.505	-108.477	2.52626	-3.25271	6.49361	0.0419572	-0.286971	0.0955448
138	Surface 27	27612	9.665	-7.74887	-2.76	-302.061	-81.1976	-3.69094	-2.34604	5.72701	-0.0451818	0.690679	-1.70534
139	Surface 27	27619	9.665	1.4033E-15	-2.76	-301.961	-81.3047	2.68956	-2.345	5.72461	0.0444363	-0.220731	-1.71256
140	Surface 27	27833	9.665	-7.74887	-1.84	-207.791	-54.3478	-3.82098	-1.59856	3.84728	-0.0558182	0.464228	-2.31689
141	Surface 27	27840	9.665	1.4033E-15	-1.84	-207.844	-54.4012	2.86666	-1.59806	3.83484	0.0454668	-0.152539	-2.32048
142	Surface 27	28053	9.665	-7.74887	-0.92	-110.82	-27.2646	-3.18899	-0.840663	1.79743	-0.068703	0.211993	-2.06604
143	Surface 27	28060	9.665	4.20989E-15	-0.92	-111.026	-27.2828	2.47042	-0.834855	1.78353	0.0460454	-0.0521232	-2.04901
144	Surface 27	28272	9.665	-7.74887	0.0	-14.5922	-4.08642	-2.43241	0.148375	0.948061	-0.0719463	0.262671	-1.74696
145	Surface 27	28280	9.665	0.0	0.0	-14.7412	-4.07818	1.89288	0.158191	0.93771	0.0444109	-0.136608	-1.71544
146	Surface 30	25876	9.665	7.01648E-15	-9.9	-953.151	-308.421	3.35862	-20.2304	-45.5318	0.0492442	-0.731666	23.4321
