	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
143	Surface 27	28060	9.665	4.20989E-15	-0.92	-111.027	-27.2827	2.47043	-0.83661	1.78346	0.0460349	-0.0521236	-2.04896
144	Surface 27	28272	9.665	-7.74887	0.0	-14.5925	-4.08639	-2.43241	0.146665	0.948025	-0.0719135	0.262486	-1.74692
145	Surface 27	28280	9.665	0.0	0.0	-14.7415	-4.07815	1.8929	0.156434	0.937674	0.0444029	-0.136585	-1.7154
146	Surface 30	25876	9.665	7.01648E-15	-9.9	-953.151	-308.417	3.3586	-20.2318	-45.5316	0.0492142	-0.731684	23.432
147	Surface 30	25882	9.665	6.11244	-9.9	-953.283	-308.307	0.0589373	-20.1881	-45.5195	0.024322	-1.01719	23.3829
148	Surface 30	25889	9.665	12.2246	-9.9	-953.503	-308.406	0.0854949	-20.0771	-45.503	0.0265559	-2.33193	23.4532
149	Surface 30	25897	9.665	18.3371	-9.9	-953.89	-308.324	7.44923	-19.9843	-45.4735	0.108513	-4.86993	23.3672
150	Surface 30	26164	9.665	7.01648E-15	-8.84	-836.224	-273.817	2.7289	-15.297	-27.7474	0.0409794	-0.635584	17.881
151	Surface 30	26168	9.665	6.11242	-8.84	-836.452	-273.708	0.0430677	-15.2548	-27.7361	0.0223339	-0.886077	17.8381
152	Surface 30	26171	9.665	12.2246	-8.84	-836.647	-273.764	0.0584981	-15.1551	-27.7178	0.0253828	-2.03748	17.892
153	Surface 30	26177	9.665	18.3371	-8.84	-837.148	-273.66	6.02646	-15.0697	-27.6917	0.0925762	-4.26212	17.8155
154	Surface 30	26384	9.665	7.01648E-15	-7.78	-740.881	-239.123	2.32177	-11.0991	-12.3075	0.0356776	-0.557603	11.2371
155	Surface 30	26387	9.665	6.11241	-7.78	-741.196	-239.023	0.0280382	-11.0589	-12.2975	0.022131	-0.784541	11.199
156	Surface 30	26392	9.665	12.2246	-7.78	-741.367	-239.025	0.0345836	-10.9703	-12.2803	0.0260333	-1.80681	11.2407
157	Surface 30	26396	9.665	18.3371	-7.78	-741.974	-238.901	5.11197	-10.8933	-12.26	0.0832244	-3.7792	11.1713
158	Surface 30	26604	9.665	7.01648E-15	-6.72	-653.526	-204.738	2.20027	-8.21953	-2.99044	0.0344653	-0.488346	6.33211
159	Surface 30	26608	9.665	6.11241	-6.72	-653.88	-204.648	0.0208101	-8.18227	-2.98219	0.022091	-0.694533	6.29568
160	Surface 30	26612	9.665	12.2246	-6.72	-654.046	-204.607	0.0244831	-8.10548	-2.96843	0.0260988	-1.60048	6.3334
161	Surface 30	26618	9.665	18.3371	-6.72	-654.695	-204.469	4.85737	-8.03835	-2.95493	0.0805179	-3.34445	6.2668
