	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
81	Surface 14	27836	9.665	-180.0	-1.84	-321.908	-53.555	0.158492	2.24416	4.51974	-0.928528	0.640097	-2.21586
82	Surface 14	28051	9.665	-172.251	-0.92	-223.229	-26.8607	5.30236	3.85986	2.21181	-0.265918	-0.201028	-2.06761
83	Surface 14	28057	9.665	-180.0	-0.92	-225.67	-26.8607	-0.773861	3.33522	2.17737	-0.803766	0.663771	-2.16421
84	Surface 14	28271	9.665	-172.251	0.0	-127.273	-3.93656	3.47113	4.976	1.17307	-0.217252	0.728207	-1.87601
85	Surface 14	28275	9.665	-180.0	0.0	-130.768	-4.04644	-1.10192	4.39844	1.13769	-0.679436	2.81323	-1.89484
86	Surface 15	27087	9.665	-166.683	-4.6	-588.231	-137.526	4.00628	-2.33749	4.79703	0.529768	-3.84039	3.5012
87	Surface 15	27096	9.665	-172.251	-4.6	-586.632	-136.369	6.98649	-2.05565	5.02594	0.0267517	-1.75296	3.43417
88	Surface 15	27383	9.665	-166.683	-3.68	-505.258	-107.829	4.89633	-0.350389	6.57484	0.368325	-3.31142	1.31762
89	Surface 15	27389	9.665	-172.251	-3.68	-504.024	-107.254	7.65168	-0.173873	6.7832	-0.131188	-1.42906	1.17723
90	Surface 15	27605	9.665	-166.683	-2.76	-415.602	-80.2092	5.34327	1.29644	6.2324	0.232478	-2.66202	-0.81641
91	Surface 15	27610	9.665	-172.251	-2.76	-415.055	-80.146	7.8649	1.34248	6.37279	-0.252157	-1.03585	-1.01414
92	Surface 15	27823	9.665	-166.683	-1.84	-320.078	-53.2386	4.93926	2.71747	4.46179	0.159573	-1.91273	-1.78699
93	Surface 15	27830	9.665	-172.251	-1.84	-320.639	-53.5919	7.37548	2.62173	4.50645	-0.316098	-0.609288	-1.99737
94	Surface 15	28043	9.665	-166.683	-0.92	-220.721	-26.5381	3.19491	4.08654	2.22962	0.128453	-1.17388	-1.96901
95	Surface 15	28051	9.665	-172.251	-0.92	-223.229	-26.8607	5.30236	3.85986	2.21181	-0.265918	-0.201028	-2.06761
96	Surface 15	28265	9.665	-166.683	0.0	-121.168	-3.36701	1.69601	5.28242	1.20629	0.104244	-1.00983	-1.88733
97	Surface 15	28271	9.665	-172.251	0.0	-127.273	-3.93656	3.47113	4.976	1.17307	-0.217252	0.728207	-1.87601
98	Surface 17	27058	9.665	-159.181	-4.6	-591.092	-140.433	0.405917	-3.09584	4.4781	1.33065	-0.255626	3.40522
99	Surface 17	27069	9.665	-160.983	-4.6	-590.713	-139.553	0.215356	-2.87581	4.55105	1.13113	-1.51237	3.36152
100	Surface 17	27365	9.665	-159.181	-3.68	-507.773	-109.639	1.77374	-1.0261	6.22938	1.20076	-0.371914	1.3394
101	Surface 17	27372	9.665	-160.983	-3.68	-507.398	-109.05	1.37978	-0.811927	6.3159	0.990208	-1.41822	1.25748
102	Surface 17	27586	9.665	-159.181	-2.76	-417.232	-81.0148	2.75927	0.753971	5.94814	1.06677	-0.380507	-0.678403
103	Surface 17	27591	9.665	-160.983	-2.76	-417.051	-80.7107	2.15093	0.948414	6.02642	0.853237	-1.20586	-0.797032
104	Surface 17	27807	9.665	-159.181	-1.84	-320.077	-53.2067	3.00713	2.34005	4.31116	0.982249	-0.292281	-1.5846
105	Surface 17	27813	9.665	-160.983	-1.84	-319.983	-53.1034	2.13802	2.50521	4.36008	0.770054	-0.891461	-1.72599
106	Surface 17	28026	9.665	-159.181	-0.92	-217.882	-26.287	1.80325	3.8678	2.20166	0.813911	-0.168891	-1.85703
107	Surface 17	28031	9.665	-160.983	-0.92	-219.045	-26.3858	0.714929	4.01013	2.22173	0.635099	-0.538279	-1.97685
108	Surface 17	28245	9.665	-159.181	0.0	-111.007	-2.1689	0.48147	5.18798	1.23074	0.676378	-2.46946	-1.87466
109	Surface 17	28253	9.665	-160.983	0.0	-110.871	-1.89379	-1.05137	5.29563	1.23658	0.523924	-2.18491	-1.96826
110	Surface 24	27063	9.665	-20.819	-4.6	-589.718	-168.052	12.0228	-4.1806	6.12831	-0.742507	-1.27424	2.06348
111	Surface 24	27071	9.665	-19.0166	-4.6	-590.763	-164.213	12.3091	-4.23588	5.95824	-0.780624	0.11445	2.09168
112	Surface 24	27370	9.665	-20.819	-3.68	-510.729	-135.958	15.2978	-3.33058	7.20478	-1.10063	-0.953497	-0.479325
113	Surface 24	27375	9.665	-19.0166	-3.68	-511.824	-131.476	14.7822	-3.29383	7.02968	-1.12009	0.340168	-0.347495
