	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
138	Surface 27	27612	9.665	-7.74887	-2.76	-736.022	-81.6734	-2.72648	3.95173	8.61324	-0.552539	2.31154	-1.89605
139	Surface 27	27619	9.665	1.4033E-15	-2.76	-735.619	-81.8078	2.51498	4.28747	8.65215	0.0265643	-0.546811	-1.90012
140	Surface 27	27833	9.665	-7.74887	-1.84	-647.623	-54.4556	-3.17872	4.91374	5.89922	-0.598876	2.10101	-3.10672
141	Surface 27	27840	9.665	1.4033E-15	-1.84	-647.351	-54.5224	2.71687	5.26063	5.91446	0.0268333	-0.482106	-3.11374
142	Surface 27	28053	9.665	-7.74887	-0.92	-555.477	-27.2211	-2.86229	5.88626	2.7704	-0.55022	1.86312	-2.84628
143	Surface 27	28060	9.665	4.20989E-15	-0.92	-555.347	-27.2431	2.34936	6.24997	2.76955	0.026777	-0.388071	-2.8364
144	Surface 27	28272	9.665	-7.74887	0.0	-464.165	-4.54914	-2.27776	6.86333	1.3762	-0.494023	3.31032	-2.36082
145	Surface 27	28280	9.665	0.0	0.0	-464.014	-4.54692	1.79556	7.23361	1.37191	0.0245547	-0.391675	-2.33636
146	Surface 30	25876	9.665	7.01648E-15	-9.9	-1.33652E3	-318.661	3.61164	-19.4092	-58.1184	0.0419232	-1.03242	29.6709
147	Surface 30	25882	9.665	6.11244	-9.9	-1.33684E3	-318.329	-1.68896	-19.5257	-58.1429	0.419522	-1.8569	29.6011
148	Surface 30	25889	9.665	12.2246	-9.9	-1.33743E3	-317.897	-3.29478	-19.9655	-58.2527	0.798921	-4.10281	29.65
149	Surface 30	25897	9.665	18.3371	-9.9	-1.33832E3	-316.834	3.16828	-20.5791	-58.3852	1.20243	-8.01653	29.4868
150	Surface 30	26164	9.665	7.01648E-15	-8.84	-1.21657E3	-281.833	2.77903	-13.0214	-35.7403	0.030594	-0.932427	22.9168
151	Surface 30	26168	9.665	6.11242	-8.84	-1.21702E3	-281.532	-1.55359	-13.1473	-35.7671	0.4125	-1.74266	22.8575
152	Surface 30	26171	9.665	12.2246	-8.84	-1.21757E3	-281.142	-3.04133	-13.6315	-35.8772	0.788864	-3.84007	22.8855
153	Surface 30	26177	9.665	18.3371	-8.84	-1.21865E3	-280.205	1.65801	-14.2936	-36.0156	1.16931	-7.44737	22.7386
154	Surface 30	26384	9.665	7.01648E-15	-7.78	-1.12586E3	-245.329	2.21826	-7.6006	-16.3557	0.021845	-0.855459	14.4195
155	Surface 30	26387	9.665	6.11241	-7.78	-1.12644E3	-245.071	-1.42821	-7.73652	-16.3847	0.408463	-1.66729	14.3685
156	Surface 30	26392	9.665	12.2246	-7.78	-1.12698E3	-244.723	-2.80184	-8.26473	-16.4977	0.783441	-3.6627	14.3802
157	Surface 30	26396	9.665	18.3371	-7.78	-1.12824E3	-243.934	0.753757	-8.97606	-16.6438	1.14799	-7.04653	14.2462
158	Surface 30	26604	9.665	7.01648E-15	-6.72	-1.04726E3	-209.353	2.00873	-3.86742	-4.67487	0.0181331	-0.790474	8.38065
159	Surface 30	26608	9.665	6.11241	-6.72	-1.04791E3	-209.139	-1.288	-4.01457	-4.70572	0.406528	-1.60847	8.33363
160	Surface 30	26612	9.665	12.2246	-6.72	-1.04847E3	-208.837	-2.52872	-4.58747	-4.82392	0.781029	-3.52126	8.33985
161	Surface 30	26618	9.665	18.3371	-6.72	-1.04985E3	-208.189	0.702342	-5.35007	-4.97864	1.14032	-6.71767	8.21466
162	Surface 30	26822	9.665	7.01648E-15	-5.66	-971.06	-173.786	1.99925	-1.08813	2.37519	0.0178173	-0.728636	5.68457
163	Surface 30	26827	9.665	6.11242	-5.66	-971.738	-173.61	-1.11914	-1.24692	2.34362	0.406359	-1.55135	5.64006
164	Surface 30	26832	9.665	12.2246	-5.66	-972.326	-173.351	-2.20067	-1.8638	2.2215	0.781246	-3.38393	5.6496
165	Surface 30	26838	9.665	18.3371	-5.66	-973.776	-172.826	1.17274	-2.67743	2.06225	1.14216	-6.39892	5.53456
166	Surface 30	27114	9.665	7.01648E-15	-4.6	-892.11	-139.38	2.11191	1.26939	7.12733	0.0199602	-0.665776	4.22359
167	Surface 30	27118	9.665	6.11244	-4.6	-892.795	-139.228	-0.92303	1.09932	7.0971	0.409704	-1.48603	4.18145
168	Surface 30	27124	9.665	12.2246	-4.6	-893.413	-139.0	-1.82182	0.440498	6.97535	0.787572	-3.23017	4.20029
169	Surface 30	27135	9.665	18.3371	-4.6	-894.905	-138.563	1.98652	-0.421765	6.82002	1.15642	-6.0534	4.0987
