	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
107	Surface 17	28031	9.665	-160.983	-0.92	-231.488	-26.7007	-2.14836	-2.41325	1.93235	-4.05603E-3	-0.200152	-2.32931
108	Surface 17	28245	9.665	-159.181	0.0	-129.214	-2.87014	-1.23639	-1.37965	1.03185	8.62327E-3	0.135683	-1.98442
109	Surface 17	28253	9.665	-160.983	0.0	-127.788	-2.56982	-2.64526	-1.39853	1.02759	-9.51579E-3	-0.17839	-2.0364
110	Surface 24	27063	9.665	-20.819	-4.6	-590.348	-136.838	0.731782	-5.90761	5.3211	-3.49612E-3	-0.722112	2.54976
111	Surface 24	27071	9.665	-19.0166	-4.6	-590.423	-136.861	1.50152	-5.9197	5.31951	0.0124869	0.594804	2.50179
112	Surface 24	27370	9.665	-20.819	-3.68	-508.786	-107.886	0.800329	-4.67921	6.76362	-1.7083E-3	-0.628177	0.277367
113	Surface 24	27375	9.665	-19.0166	-3.68	-508.847	-107.909	1.62389	-4.68981	6.76127	0.0155515	0.511676	0.226396
114	Surface 24	27589	9.665	-20.819	-2.76	-421.072	-80.5005	0.892782	-3.79475	6.07764	-3.14894E-3	-0.528416	-1.80356
115	Surface 24	27594	9.665	-19.0166	-2.76	-421.189	-80.5507	1.74429	-3.80468	6.07476	0.0155057	0.418803	-1.85621
116	Surface 24	27810	9.665	-20.819	-1.84	-327.982	-53.3272	0.989985	-3.09627	4.11554	-7.1666E-3	-0.417693	-2.50097
117	Surface 24	27814	9.665	-19.0166	-1.84	-327.882	-53.3847	1.90996	-3.10406	4.11092	0.0113628	0.320228	-2.55696
118	Surface 24	28029	9.665	-20.819	-0.92	-230.897	-26.5356	1.10937	-2.41748	1.93582	-0.0115296	-0.305983	-2.27436
