	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
59	Surface 13	27622	9.665	173.888	-2.76	-400.322	-79.9225	7.29197	26.7803	9.73541	-0.390992	0.703572	-0.849155
60	Surface 13	27626	9.665	167.775	-2.76	-401.909	-79.6226	7.38514	25.7074	9.74739	-1.70196	2.59027	-1.10165
61	Surface 13	27630	9.665	161.663	-2.76	-404.146	-79.2461	1.40249	23.9412	9.65177	-2.80163	4.7017	-1.44117
62	Surface 13	27836	9.665	-180.0	-1.84	-303.25	-53.3442	3.04771	28.5712	6.86413	1.06334	-0.681491	-1.98475
63	Surface 13	27842	9.665	173.888	-1.84	-305.23	-52.8762	5.90089	28.8771	6.99627	-0.500548	0.890045	-2.32842
64	Surface 13	27846	9.665	167.775	-1.84	-307.698	-53.0078	5.59808	27.5656	6.93701	-1.86487	2.58791	-2.51431
65	Surface 13	27851	9.665	161.663	-1.84	-310.266	-52.6074	-1.01423	25.5962	6.84759	-3.01394	4.40602	-2.73941
66	Surface 13	28057	9.665	-180.0	-0.92	-204.931	-26.4993	1.20634	30.8517	3.48323	0.921856	-0.4962	-2.48827
67	Surface 13	28061	9.665	173.888	-0.92	-208.587	-26.219	3.4871	30.939	3.51565	-0.458099	1.01132	-2.70609
68	Surface 13	28065	9.665	167.775	-0.92	-211.539	-26.3941	3.14564	29.3943	3.4565	-1.66329	2.52465	-2.77669
69	Surface 13	28071	9.665	161.663	-0.92	-214.708	-26.166	-3.03847	27.2339	3.42292	-2.68323	3.98563	-2.9196
70	Surface 13	28275	9.665	-180.0	0.0	-110.531	-3.94968	0.049837	32.2192	1.80127	0.793379	-3.26067	-2.41831
71	Surface 13	28282	9.665	173.888	0.0	-113.857	-3.69415	1.78286	32.2339	1.80533	-0.412799	2.30136	-2.57703
72	Surface 13	28286	9.665	167.775	0.0	-120.283	-4.29597	1.53282	30.5988	1.77116	-1.46096	7.20319	-2.56433
73	Surface 13	28291	9.665	161.663	0.0	-121.398	-3.80868	-3.71008	28.3844	1.77368	-2.36839	11.229	-2.70173
74	Surface 14	27096	9.665	-172.251	-4.6	-577.878	-142.137	5.42543	17.9971	7.45765	3.55335	-4.62155	4.68688
75	Surface 14	27108	9.665	-180.0	-4.6	-575.211	-139.258	3.3466	20.5665	8.35567	1.55211	-1.36338	4.5779
76	Surface 14	27389	9.665	-172.251	-3.68	-492.69	-110.295	7.86865	21.1944	9.30444	3.32095	-4.32001	2.42374
77	Surface 14	27396	9.665	-180.0	-3.68	-490.626	-108.567	4.06422	23.6068	10.1262	1.29226	-1.20701	2.11639
78	Surface 14	27610	9.665	-172.251	-2.76	-400.478	-81.3591	9.50025	24.0383	8.84926	3.16545	-3.83434	9.3815E-3
79	Surface 14	27617	9.665	-180.0	-2.76	-399.52	-80.4442	4.04996	26.238	9.4527	1.11559	-0.960911	-0.452367
80	Surface 14	27830	9.665	-172.251	-1.84	-302.339	-53.7766	9.82126	26.6062	6.55646	3.16878	-3.21563	-1.50054
81	Surface 14	27836	9.665	-180.0	-1.84	-303.25	-53.3442	3.04771	28.5712	6.86413	1.06334	-0.681491	-1.98475
82	Surface 14	28051	9.665	-172.251	-0.92	-201.418	-26.6608	7.34531	29.107	3.40444	2.7505	-2.61436	-2.19365
83	Surface 14	28057	9.665	-180.0	-0.92	-204.931	-26.4993	1.20634	30.8517	3.48323	0.921856	-0.4962	-2.48827
84	Surface 14	28271	9.665	-172.251	0.0	-103.931	-3.6782	4.82164	30.5718	1.7963	2.36591	-10.1542	-2.27436
85	Surface 14	28275	9.665	-180.0	0.0	-110.531	-3.94968	0.049837	32.2192	1.80127	0.793379	-3.26067	-2.41831
86	Surface 15	27087	9.665	-166.683	-4.6	-582.048	-145.471	-1.16147	14.5153	6.5921	5.09922	-7.66638	4.57007
87	Surface 15	27096	9.665	-172.251	-4.6	-577.878	-142.137	5.42543	17.9971	7.45765	3.55335	-4.62155	4.68688
88	Surface 15	27383	9.665	-166.683	-3.68	-496.473	-112.364	2.30953	17.753	8.42886	4.91594	-7.27484	2.50612
89	Surface 15	27389	9.665	-172.251	-3.68	-492.69	-110.295	7.86865	21.1944	9.30444	3.32095	-4.32001	2.42374
90	Surface 15	27605	9.665	-166.683	-2.76	-403.209	-82.3165	5.09345	20.7085	8.11334	4.78135	-6.604	0.286882
91	Surface 15	27610	9.665	-172.251	-2.76	-400.478	-81.3591	9.50025	24.0383	8.84926	3.16545	-3.83434	9.3815E-3
92	Surface 15	27823	9.665	-166.683	-1.84	-303.068	-53.8648	6.45415	23.4308	6.08799	4.82478	-5.66665	-1.09965
93	Surface 15	27830	9.665	-172.251	-1.84	-302.339	-53.7766	9.82126	26.6062	6.55646	3.16878	-3.21563	-1.50054
94	Surface 15	28043	9.665	-166.683	-0.92	-198.589	-26.514	5.0504	26.0971	3.22887	4.19081	-4.68963	-1.89575
95	Surface 15	28051	9.665	-172.251	-0.92	-201.418	-26.6608	7.34531	29.107	3.40444	2.7505	-2.61436	-2.19365
96	Surface 15	28265	9.665	-166.683	0.0	-95.1954	-2.93597	3.14047	27.685	1.76262	3.60817	-16.0853	-2.12061
97	Surface 15	28271	9.665	-172.251	0.0	-103.931	-3.6782	4.82164	30.5718	1.7963	2.36591	-10.1542	-2.27436
98	Surface 17	27058	9.665	-159.181	-4.6	-589.441	-152.775	-10.7635	8.15832	5.34413	7.08948	-5.06767	4.01239
99	Surface 17	27069	9.665	-160.983	-4.6	-587.966	-150.663	-9.52869	9.74238	5.61612	6.64091	-6.18508	4.12352
100	Surface 17	27365	9.665	-159.181	-3.68	-503.928	-117.352	-5.79353	11.2398	7.03117	7.05785	-5.55445	2.24281
101	Surface 17	27372	9.665	-160.983	-3.68	-502.29	-115.859	-4.96958	12.8947	7.3557	6.56937	-6.40625	2.2564
102	Surface 17	27586	9.665	-159.181	-2.76	-409.601	-85.0989	-1.08197	14.1748	6.82183	7.00244	-5.74558	0.382599
103	Surface 17	27591	9.665	-160.983	-2.76	-408.131	-84.2345	-0.789303	15.866	7.13615	6.49354	-6.32013	0.280382
104	Surface 17	27807	9.665	-159.181	-1.84	-306.665	-54.7935	2.55905	16.9754	5.18141	7.1005	-5.59093	-0.699788
105	Surface 17	27813	9.665	-160.983	-1.84	-305.49	-54.4243	2.19733	18.6686	5.40587	6.5839	-5.89977	-0.90766
106	Surface 17	28026	9.665	-159.181	-0.92	-196.755	-26.6015	3.12493	19.7428	2.81424	6.1609	-5.20998	-1.51547
107	Surface 17	28031	9.665	-160.983	-0.92	-197.484	-26.6103	2.19468	21.4558	2.9074	5.70884	-5.27779	-1.74309
108	Surface 17	28245	9.665	-159.181	0.0	-81.3202	-1.2895	1.99029	21.4846	1.60226	5.33393	-22.9061	-1.87422
109	Surface 17	28253	9.665	-160.983	0.0	-81.788	-1.08958	0.423698	23.1444	1.61513	5.00108	-21.5574	-2.07786
110	Surface 24	27063	9.665	-20.819	-4.6	-580.18	-133.919	2.28591	15.3043	9.15264	1.05159	0.849988	2.65124
111	Surface 24	27071	9.665	-19.0166	-4.6	-580.152	-134.529	3.16741	15.7058	9.25356	1.17139	1.95383	2.57449
112	Surface 24	27370	9.665	-20.819	-3.68	-498.476	-105.452	2.13611	16.8297	10.2263	1.06671	0.837812	0.103313
113	Surface 24	27375	9.665	-19.0166	-3.68	-498.435	-105.891	3.10081	17.2206	10.3004	1.1825	1.77763	0.0281863
114	Surface 24	27589	9.665	-20.819	-2.76	-411.099	-78.6667	1.94188	17.9466	8.9208	1.01973	0.848501	-2.27282
115	Surface 24	27594	9.665	-19.0166	-2.76	-411.08	-78.9893	2.96065	18.3311	8.96994	1.13907	1.60837	-2.34535
116	Surface 24	27810	9.665	-20.819	-1.84	-319.253	-52.1709	1.72025	18.8333	6.06115	0.910932	0.873844	-3.22796
117	Surface 24	27814	9.665	-19.0166	-1.84	-319.051	-52.3747	2.81002	19.2145	6.08471	1.04126	1.44583	-3.29919
