	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
66	Surface 13	28057	9.665	-180.0	-0.92	-111.295	-0.227563	-2.60884	-0.918721	1.74334	-0.0549536	0.0629031	-2.00954
67	Surface 13	28061	9.665	173.888	-0.92	-111.327	0.0653329	0.163513	-0.912244	1.75018	-0.0410814	0.105959	-2.06029
68	Surface 13	28065	9.665	167.775	-0.92	-110.532	-0.0928341	0.257013	-0.885251	1.77988	-0.0507465	0.261075	-2.02956
69	Surface 13	28071	9.665	161.663	-0.92	-110.48	0.163311	-6.17735	-0.871082	1.80943	-0.13153	0.528795	-2.13301
70	Surface 13	28275	9.665	-180.0	0.0	-12.4253	9.98661	-1.99882	0.144524	0.921241	-0.0525638	0.171179	-1.66181
71	Surface 13	28282	9.665	173.888	0.0	-9.90801	10.4968	0.18829	0.169229	0.931172	-0.0362624	0.136025	-1.74311
72	Surface 13	28286	9.665	167.775	0.0	-11.8038	9.96408	0.277408	0.171089	0.94785	-0.0466736	0.20155	-1.72087
73	Surface 13	28291	9.665	161.663	0.0	-8.72944	10.5824	-5.25562	0.199587	0.975388	-0.130819	0.358257	-1.87487
74	Surface 14	27096	9.665	-172.251	-4.6	-475.448	-0.72255	3.44503	-4.81929	5.28421	0.0387064	-1.15224	2.15652
75	Surface 14	27108	9.665	-180.0	-4.6	-475.296	-0.822149	-2.51333	-4.8263	5.28767	-0.0471629	0.379461	2.1606
76	Surface 14	27389	9.665	-172.251	-3.68	-391.626	-0.068251	3.70405	-3.53915	6.40858	0.0388561	-0.946898	0.103098
77	Surface 14	27396	9.665	-180.0	-3.68	-391.491	-0.1947	-2.67991	-3.54608	6.41123	-0.0508055	0.311817	0.101769
78	Surface 14	27610	9.665	-172.251	-2.76	-302.1	7.60702E-3	3.92818	-2.5616	5.65185	0.0415306	-0.72224	-1.69514
79	Surface 14	27617	9.665	-180.0	-2.76	-302.002	-0.103646	-2.84575	-2.5701	5.64809	-0.0535671	0.241465	-1.70292
80	Surface 14	27830	9.665	-172.251	-1.84	-207.911	-0.224802	4.05139	-1.74445	3.78377	0.0520962	-0.482019	-2.2977
81	Surface 14	27836	9.665	-180.0	-1.84	-207.975	-0.28037	-3.02879	-1.75398	3.7698	-0.0550663	0.169163	-2.30148
82	Surface 14	28051	9.665	-172.251	-0.92	-111.07	-0.20866	3.37346	-0.91436	1.75844	0.0662979	-0.215173	-2.02764
83	Surface 14	28057	9.665	-180.0	-0.92	-111.295	-0.227563	-2.60884	-0.918721	1.74334	-0.0549536	0.0629031	-2.00954
84	Surface 14	28271	9.665	-172.251	0.0	-12.2614	9.97784	2.56988	0.144789	0.932392	0.0703442	-0.249705	-1.69522
85	Surface 14	28275	9.665	-180.0	0.0	-12.4253	9.98661	-1.99882	0.144524	0.921241	-0.0525638	0.171179	-1.66181
86	Surface 15	27087	9.665	-166.683	-4.6	-476.139	-0.552867	0.921261	-4.79136	5.28461	5.42497E-3	-2.70115	2.15614
87	Surface 15	27096	9.665	-172.251	-4.6	-475.448	-0.72255	3.44503	-4.81929	5.28421	0.0387064	-1.15224	2.15652
88	Surface 15	27383	9.665	-166.683	-3.68	-392.237	0.169092	1.02015	-3.51487	6.40829	2.96111E-3	-2.22408	0.106308
89	Surface 15	27389	9.665	-172.251	-3.68	-391.626	-0.068251	3.70405	-3.53915	6.40858	0.0388561	-0.946898	0.103098
90	Surface 15	27605	9.665	-166.683	-2.76	-302.565	0.365974	1.12264	-2.53908	5.65435	3.41757E-3	-1.70944	-1.68586
91	Surface 15	27610	9.665	-172.251	-2.76	-302.1	7.60702E-3	3.92818	-2.5616	5.65185	0.0415306	-0.72224	-1.69514
92	Surface 15	27823	9.665	-166.683	-1.84	-208.136	0.303212	1.06112	-1.7223	3.79995	0.0133572	-1.14998	-2.27692
93	Surface 15	27830	9.665	-172.251	-1.84	-207.911	-0.224802	4.05139	-1.74445	3.78377	0.0520962	-0.482019	-2.2977
