	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
115	Surface 24	27594	9.665	-19.0166	-2.76	-413.189	-81.4274	5.12435	11.1963	8.08248	-2.0735	2.99878	-1.89017
116	Surface 24	27810	9.665	-20.819	-1.84	-320.063	-53.6208	3.24286	11.4937	5.47569	-2.40338	2.33486	-2.75262
117	Surface 24	27814	9.665	-19.0166	-1.84	-319.476	-53.7054	4.02789	12.3043	5.5405	-2.24586	2.91114	-2.81183
118	Surface 24	28029	9.665	-20.819	-0.92	-223.193	-26.5451	2.01315	12.5826	2.63387	-2.1825	2.41461	-2.62914
119	Surface 24	28036	9.665	-19.0166	-0.92	-223.256	-26.722	2.98626	13.433	2.65717	-2.03514	2.77076	-2.70665
120	Surface 24	28248	9.665	-20.819	0.0	-123.136	-3.05353	1.41406	13.6853	1.36783	-1.96477	9.17115	-2.33362
121	Surface 24	28255	9.665	-19.0166	0.0	-121.288	-2.78743	2.7649	14.5237	1.36423	-1.86106	8.95306	-2.41544
122	Surface 26	27090	9.665	-13.3169	-4.6	-581.504	-140.218	3.11977	10.2376	8.26714	-1.47562	4.90251	2.90739
123	Surface 26	27104	9.665	-7.74887	-4.6	-580.038	-140.624	-0.71895	11.5251	8.48817	-1.00535	2.35663	2.97484
124	Surface 26	27388	9.665	-13.3169	-3.68	-499.253	-110.037	2.31757	11.9936	9.47465	-1.52237	4.52924	0.493357
125	Surface 26	27394	9.665	-7.74887	-3.68	-497.766	-110.395	-1.41702	13.3455	9.68861	-1.03787	2.2114	0.543694
126	Surface 26	27606	9.665	-13.3169	-2.76	-410.933	-81.8122	1.41399	13.3915	8.38017	-1.59673	4.09646	-1.78842
127	Surface 26	27612	9.665	-7.74887	-2.76	-409.484	-82.2025	-2.1433	14.8047	8.5674	-1.08616	2.03429	-1.76574
128	Surface 26	27827	9.665	-13.3169	-1.84	-317.559	-54.171	0.55401	14.585	5.75364	-1.72398	3.58797	-2.74504
129	Surface 26	27833	9.665	-7.74887	-1.84	-316.25	-54.6638	-2.82601	16.056	5.8807	-1.16504	1.82291	-2.76479
130	Surface 26	28046	9.665	-13.3169	-0.92	-221.266	-26.9005	-0.043726	15.8043	2.77108	-1.5609	3.05611	-2.63111
131	Surface 26	28053	9.665	-7.74887	-0.92	-220.625	-27.2394	-2.74448	17.3354	2.81995	-1.05036	1.58	-2.64453
132	Surface 26	28268	9.665	-13.3169	0.0	-125.545	-3.91205	-0.207132	16.897	1.42386	-1.39008	7.25857	-2.31294
133	Surface 26	28272	9.665	-7.74887	0.0	-127.136	-4.35518	-2.28543	18.4187	1.42686	-0.932077	4.46788	-2.28927
134	Surface 27	27104	9.665	-7.74887	-4.6	-580.038	-140.624	-0.71895	11.5251	8.48817	-1.00535	2.35663	2.97484
135	Surface 27	27114	9.665	7.01648E-15	-4.6	-579.529	-140.822	2.8326	12.1899	8.59173	-0.243763	-0.286444	3.02394
136	Surface 27	27394	9.665	-7.74887	-3.68	-497.766	-110.395	-1.41702	13.3455	9.68861	-1.03787	2.2114	0.543694
137	Surface 27	27400	9.665	4.20989E-15	-3.68	-497.214	-110.565	2.93193	14.0485	9.79211	-0.249231	-0.204766	0.578842
138	Surface 27	27612	9.665	-7.74887	-2.76	-409.484	-82.2025	-2.1433	14.8047	8.5674	-1.08616	2.03429	-1.76574
139	Surface 27	27619	9.665	1.4033E-15	-2.76	-408.901	-82.3238	3.00803	15.543	8.6551	-0.253422	-0.122981	-1.75106
140	Surface 27	27833	9.665	-7.74887	-1.84	-316.25	-54.6638	-2.82601	16.056	5.8807	-1.16504	1.82291	-2.76479
141	Surface 27	27840	9.665	1.4033E-15	-1.84	-315.755	-54.7161	3.05659	16.828	5.93321	-0.261445	-0.0436013	-2.76609
