	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
91	Surface 15	27610	9.665	-172.251	-2.76	-419.525	-81.1885	3.62298	-3.75096	6.08214	0.0371078	-0.964157	-1.77319
92	Surface 15	27823	9.665	-166.683	-1.84	-327.284	-53.8413	0.985855	-3.01313	4.10797	0.0120597	-1.76208	-2.47064
93	Surface 15	27830	9.665	-172.251	-1.84	-326.913	-54.3411	3.76649	-3.045	4.09112	0.0471004	-0.742189	-2.48917
94	Surface 15	28043	9.665	-166.683	-0.92	-230.858	-26.9063	0.672455	-2.30921	1.92076	0.0237585	-1.22875	-2.21871
95	Surface 15	28051	9.665	-172.251	-0.92	-231.203	-27.2652	3.15065	-2.33034	1.89916	0.0605097	-0.493886	-2.20162
96	Surface 15	28265	9.665	-166.683	0.0	-133.429	-3.73479	0.355475	-1.32275	1.00886	0.0244835	-0.850028	-1.8995
97	Surface 15	28271	9.665	-172.251	0.0	-135.974	-4.18185	2.40444	-1.36591	0.98619	0.0640893	-0.520153	-1.83372
98	Surface 17	27058	9.665	-159.181	-4.6	-590.293	-136.859	-0.750663	-5.79726	5.34047	0.0154242	0.712142	2.55447
99	Surface 17	27069	9.665	-160.983	-4.6	-590.367	-136.882	-1.51773	-5.80674	5.33952	-1.93873E-3	-0.603548	2.50663
100	Surface 17	27365	9.665	-159.181	-3.68	-508.725	-107.899	-0.816615	-4.56372	6.78245	0.0134458	0.617838	0.280617
101	Surface 17	27372	9.665	-160.983	-3.68	-508.784	-107.922	-1.63798	-4.57154	6.78068	-5.19738E-3	-0.52073	0.229751
102	Surface 17	27586	9.665	-159.181	-2.76	-421.004	-80.5069	-0.905578	-3.67439	6.09433	0.0149829	0.517776	-1.80221
