	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
123	Surface 26	27104	9.665	-7.74887	-4.6	-588.318	-137.2	-3.08801	-5.8749	5.33391	-0.0407759	1.3658	2.59405
124	Surface 26	27388	9.665	-13.3169	-3.68	-507.673	-108.121	-0.918495	-4.60904	6.77693	-9.02991E-3	2.76141	0.3178
125	Surface 26	27394	9.665	-7.74887	-3.68	-506.928	-108.354	-3.36293	-4.63236	6.77652	-0.0414752	1.18032	0.315452
126	Surface 26	27606	9.665	-13.3169	-2.76	-420.126	-80.8437	-1.02613	-3.71547	6.08582	-9.86366E-3	2.29067	-1.76666
127	Surface 26	27612	9.665	-7.74887	-2.76	-419.518	-81.1877	-3.61112	-3.73649	6.08275	-0.0447863	0.97476	-1.7746
128	Surface 26	27827	9.665	-13.3169	-1.84	-327.288	-53.8406	-0.979233	-3.01155	4.10709	-0.0195654	1.77319	-2.47157
129	Surface 26	27833	9.665	-7.74887	-1.84	-326.909	-54.3405	-3.75933	-3.03156	4.09135	-0.0554942	0.752728	-2.49029
130	Surface 26	28046	9.665	-13.3169	-0.92	-230.866	-26.906	-0.670132	-2.30876	1.92019	-0.0307693	1.23963	-2.21904
131	Surface 26	28053	9.665	-7.74887	-0.92	-231.204	-27.2648	-3.14784	-2.31776	1.89916	-0.0681662	0.504289	-2.20226
132	Surface 26	28268	9.665	-13.3169	0.0	-133.442	-3.73533	-0.355219	-1.32269	1.00856	-0.0309639	0.882933	-1.89949
133	Surface 26	28272	9.665	-7.74887	0.0	-135.982	-4.18245	-2.40383	-1.35369	0.986116	-0.0710189	0.553908	-1.83407
134	Surface 27	27104	9.665	-7.74887	-4.6	-588.318	-137.2	-3.08801	-5.8749	5.33391	-0.0407759	1.3658	2.59405
135	Surface 27	27114	9.665	7.01648E-15	-4.6	-588.139	-137.3	2.27293	-5.87577	5.33815	0.0374505	-0.441775	2.59812
136	Surface 27	27394	9.665	-7.74887	-3.68	-506.928	-108.354	-3.36293	-4.63236	6.77652	-0.0414752	1.18032	0.315452
137	Surface 27	27400	9.665	4.20989E-15	-3.68	-506.764	-108.477	2.44856	-4.63271	6.77979	0.0410333	-0.380414	0.314375
138	Surface 27	27612	9.665	-7.74887	-2.76	-419.518	-81.1877	-3.61112	-3.73649	6.08275	-0.0447863	0.97476	-1.7746
139	Surface 27	27619	9.665	1.4033E-15	-2.76	-419.389	-81.2952	2.62765	-3.73788	6.07979	0.0436507	-0.315977	-1.78174
140	Surface 27	27833	9.665	-7.74887	-1.84	-326.909	-54.3405	-3.75933	-3.03156	4.09135	-0.0554942	0.752728	-2.49029
141	Surface 27	27840	9.665	1.4033E-15	-1.84	-326.932	-54.3949	2.81821	-3.03349	4.07858	0.0447402	-0.249238	-2.49374
142	Surface 27	28053	9.665	-7.74887	-0.92	-231.204	-27.2648	-3.14784	-2.31776	1.89916	-0.0681662	0.504289	-2.20226
143	Surface 27	28060	9.665	4.20989E-15	-0.92	-231.378	-27.2836	2.43747	-2.31448	1.88517	0.0453411	-0.150304	-2.18525
144	Surface 27	28272	9.665	-7.74887	0.0	-135.982	-4.18245	-2.40383	-1.35369	0.986116	-0.0710189	0.553908	-1.83407
145	Surface 27	28280	9.665	0.0	0.0	-136.101	-4.17476	1.86959	-1.34648	0.975781	0.0436424	-0.23298	-1.80267
146	Surface 30	25876	9.665	7.01648E-15	-9.9	-1.05562E3	-308.779	3.39396	-22.2542	-49.2664	0.0498154	-0.815793	25.02
147	Surface 30	25882	9.665	6.11244	-9.9	-1.05578E3	-308.659	0.0590473	-22.2065	-49.2531	0.0250456	-1.1354	24.9705
148	Surface 30	25889	9.665	12.2246	-9.9	-1.05603E3	-308.769	0.0881225	-22.0844	-49.2348	0.0277047	-2.60152	25.0423
149	Surface 30	25897	9.665	18.3371	-9.9	-1.05648E3	-308.682	7.53454	-21.9825	-49.2025	0.110977	-5.43094	24.9558
150	Surface 30	26164	9.665	7.01648E-15	-8.84	-938.313	-273.984	2.71085	-17.0716	-30.2626	0.0408682	-0.71902	19.1051
151	Surface 30	26168	9.665	6.11242	-8.84	-938.578	-273.866	0.0418787	-17.0251	-30.2501	0.0229037	-1.00347	19.0624
152	Surface 30	26171	9.665	12.2246	-8.84	-938.799	-273.93	0.0587886	-16.9143	-30.2296	0.026459	-2.30558	19.1164
153	Surface 30	26177	9.665	18.3371	-8.84	-939.376	-273.82	5.99006	-16.8195	-30.2006	0.0937003	-4.82055	19.0402
154	Surface 30	26384	9.665	7.01648E-15	-7.78	-844.512	-239.233	2.26433	-12.6887	-13.7996	0.0350437	-0.641945	11.9424
155	Surface 30	26387	9.665	6.11241	-7.78	-844.875	-239.124	0.025356	-12.6441	-13.7884	0.0227125	-0.903743	11.905
156	Surface 30	26392	9.665	12.2246	-7.78	-845.072	-239.132	0.0322955	-12.5444	-13.7689	0.0272287	-2.07907	11.9455
157	Surface 30	26396	9.665	18.3371	-7.78	-845.77	-239.001	4.98546	-12.4578	-13.7459	0.0834957	-4.34611	11.8771
158	Surface 30	26604	9.665	7.01648E-15	-6.72	-759.704	-204.812	2.12181	-9.7234	-3.89532	0.03357	-0.574598	6.73402
159	Surface 30	26608	9.665	6.11241	-6.72	-760.114	-204.713	0.017104	-9.68171	-3.88592	0.0227029	-0.816956	6.6985
160	Surface 30	26612	9.665	12.2246	-6.72	-760.307	-204.677	0.0204528	-9.59381	-3.86993	0.0273877	-1.8799	6.73459
161	Surface 30	26618	9.665	18.3371	-6.72	-761.059	-204.532	4.68289	-9.517	-3.854	0.0803648	-3.92582	6.6694
162	Surface 30	26822	9.665	7.01648E-15	-5.66	-675.645	-170.619	2.15048	-7.59697	1.84605	0.0346884	-0.509102	4.09092
163	Surface 30	26827	9.665	6.11242	-5.66	-676.064	-170.529	0.0226098	-7.55858	1.85399	0.021965	-0.730879	4.05585
