	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
92	Line 25143	3713	9.665	20.819	-65.7	-109.985	-212.772	35.6239	0.0	-33.668	-46.2969E-6
93	Line 25143	3760	9.665	23.1855	-65.7	-83.8101	-155.481	67.7641	0.0	-4.63945	-1.49997E-6
94	Line 25144	3288	8.9	-155.08	-65.7	-72.462	-132.134	89.4381	0.0	-2.6831	-0.712744E-3
95	Line 25144	3247	9.665	-155.08	-65.7	-72.462	-132.134	89.4381	0.0	-2.6831	-0.712744E-3
96	Line 25144	3259	8.9	-153.479	-65.7	-142.311	-251.291	184.269	0.0	8.9616	-0.836267E-3
97	Line 25144	3218	9.665	-153.479	-65.7	-142.311	-251.291	184.269	0.0	8.9616	-0.836267E-3
98	Line 25144	3232	8.9	-151.879	-65.7	-138.014	-252.3	216.455	0.0	2.12144	0.357022E-3
99	Line 25144	3196	9.665	-151.879	-65.7	-138.014	-252.3	216.455	0.0	2.12144	0.357022E-3
100	Line 25145	3232	8.9	-151.879	-65.7	-138.014	-252.3	216.455	0.0	2.12144	0.357022E-3
101	Line 25145	3177	8.9	-146.948	-65.7	-358.761	-526.186	803.679	0.0	88.4376	-1.7238E-3
102	Line 25145	3196	9.665	-151.879	-65.7	-138.014	-252.3	216.455	0.0	2.12144	0.357022E-3
103	Line 25145	3129	8.9	-142.018	-65.7	-101.628	-133.769	372.668	0.0	63.0567	-0.487705E-3
104	Line 25145	3142	9.665	-146.948	-65.7	-358.761	-526.186	803.679	0.0	88.4376	-1.7238E-3
105	Line 25145	3097	9.665	-142.018	-65.7	-101.628	-133.769	372.668	0.0	63.0567	-0.487705E-3
106	Line 25148	3308	8.9	-156.815	-65.7	-87.1201	-158.826	104.621	0.0	-11.7289	-0.790643E-3
107	Line 25148	3288	8.9	-155.08	-65.7	-72.462	-132.134	89.4381	0.0	-2.6831	-0.712744E-3
108	Line 25148	3280	9.665	-156.815	-65.7	-87.1201	-158.826	104.621	0.0	-11.7289	-0.790643E-3
109	Line 25148	3247	9.665	-155.08	-65.7	-72.462	-132.134	89.4381	0.0	-2.6831	-0.712744E-3
110	Line 25151	3388	8.9	-160.983	-65.7	-51.5587	-80.2975	57.8766	0.0	-10.4846	-0.611652E-3
111	Line 25151	3347	8.9	-159.181	-65.7	-87.7292	-149.828	102.763	0.0	-32.2317	-0.61373E-3
112	Line 25151	3353	9.665	-160.983	-65.7	-51.5587	-80.2975	57.8766	0.0	-10.4846	-0.611652E-3
113	Line 25151	3321	9.665	-159.181	-65.7	-87.7292	-149.828	102.763	0.0	-32.2317	-0.61373E-3
114	Line 25152	3347	8.9	-159.181	-65.7	-87.7292	-149.828	102.763	0.0	-32.2317	-0.61373E-3
115	Line 25152	3308	8.9	-156.815	-65.7	-87.1201	-158.826	104.621	0.0	-11.7289	-0.790643E-3
116	Line 25152	3321	9.665	-159.181	-65.7	-87.7292	-149.828	102.763	0.0	-32.2317	-0.61373E-3
117	Line 25152	3280	9.665	-156.815	-65.7	-87.1201	-158.826	104.621	0.0	-11.7289	-0.790643E-3
118	Line 25153	3926	8.9	142.018	-65.7	-124.479	204.57	338.406	0.0	46.6193	1.14238E-3
119	Line 25153	3868	8.9	147.44	-65.7	-147.884	269.96	353.949	0.0	-16.1648	1.33732E-3
120	Line 25153	3952	9.665	142.018	-65.7	-124.479	204.57	338.406	0.0	46.6193	1.14238E-3
121	Line 25153	3908	9.665	147.44	-65.7	-147.884	269.96	353.949	0.0	-16.1648	1.33732E-3
122	Line 25154	3868	8.9	147.44	-65.7	-147.884	269.96	353.949	0.0	-16.1648	1.33732E-3
123	Line 25154	3836	8.9	149.628	-65.7	-97.8576	178.73	173.578	0.0	-10.5527	0.101647E-3
124	Line 25154	3908	9.665	147.44	-65.7	-147.884	269.96	353.949	0.0	-16.1648	1.33732E-3
125	Line 25154	3876	9.665	149.628	-65.7	-97.8576	178.73	173.578	0.0	-10.5527	0.101647E-3
126	Line 25157	3399	8.9	-161.663	-65.7	-117.833	-173.324	130.172	0.0	-7.38138	-1.18962E-3
127	Line 25157	3388	8.9	-160.983	-65.7	-51.5587	-80.2975	57.8766	0.0	-10.4846	-0.611652E-3
128	Line 25157	3370	9.665	-161.663	-65.7	-117.833	-173.324	130.172	0.0	-7.38138	-1.18962E-3
129	Line 25157	3353	9.665	-160.983	-65.7	-51.5587	-80.2975	57.8766	0.0	-10.4846	-0.611652E-3
130	Line 25160	3452	8.9	-166.683	-65.7	-216.617	-209.377	127.566	0.0	-68.2442	-0.307185E-3
131	Line 25160	3399	8.9	-161.663	-65.7	-117.833	-173.324	130.172	0.0	-7.38138	-1.18962E-3
132	Line 25160	3438	9.665	-166.683	-65.7	-216.617	-209.377	127.566	0.0	-68.2442	-0.307185E-3
133	Line 25160	3370	9.665	-161.663	-65.7	-117.833	-173.324	130.172	0.0	-7.38138	-1.18962E-3
134	Line 25161	3502	8.9	-172.251	-65.7	-216.822	-55.5017	-544.564	0.0	-6.94481	-2.83295E-3
135	Line 25161	3452	8.9	-166.683	-65.7	-216.617	-209.377	127.566	0.0	-68.2442	-0.307185E-3
136	Line 25161	3494	9.665	-172.251	-65.7	-216.822	-55.5017	-544.564	0.0	-6.94481	-2.83295E-3
137	Line 25161	3438	9.665	-166.683	-65.7	-216.617	-209.377	127.566	0.0	-68.2442	-0.307185E-3
138	Line 25164	3783	8.9	153.466	-65.7	-95.0181	179.75	134.046	0.0	-25.0108	0.184253E-3
139	Line 25164	3734	8.9	155.788	-65.7	-78.9525	156.682	103.789	0.0	-19.8835	0.197743E-3
140	Line 25164	3815	9.665	153.466	-65.7	-95.0181	179.75	134.046	0.0	-25.0108	0.184253E-3
