	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
95	Surface 15	28051	9.665	-172.251	-0.92	-231.164	-27.265	3.14975	-2.26436	1.90248	0.0633164	-0.496834	-2.20298
96	Surface 15	28265	9.665	-166.683	0.0	-133.396	-3.73518	0.355195	-1.26066	1.01041	0.0288649	-0.870045	-1.9009
97	Surface 15	28271	9.665	-172.251	0.0	-135.939	-4.18224	2.40423	-1.29939	0.98781	0.0665366	-0.531122	-1.83525
98	Surface 17	27058	9.665	-159.181	-4.6	-590.271	-136.868	-0.76778	-5.75302	5.34869	0.0229513	0.704119	2.55601
99	Surface 17	27069	9.665	-160.983	-4.6	-590.345	-136.892	-1.53373	-5.76027	5.34814	5.03753E-3	-0.611052	2.5083
100	Surface 17	27365	9.665	-159.181	-3.68	-508.7	-107.904	-0.83058	-4.51751	6.79021	0.0211173	0.609554	0.281722
101	Surface 17	27372	9.665	-160.983	-3.68	-508.759	-107.927	-1.65104	-4.52301	6.78881	1.91754E-3	-0.528475	0.230953
102	Surface 17	27586	9.665	-159.181	-2.76	-420.977	-80.5094	-0.915979	-3.62628	6.1011	0.0229325	0.509324	-1.80176
103	Surface 17	27591	9.665	-160.983	-2.76	-421.091	-80.5599	-1.76518	-3.63085	6.09902	2.29219E-3	-0.436004	-1.8543
104	Surface 17	27807	9.665	-159.181	-1.84	-327.879	-53.3301	-1.00463	-2.92141	4.1329	0.0279119	0.398466	-2.50242
105	Surface 17	27813	9.665	-160.983	-1.84	-327.776	-53.3878	-1.92316	-2.9236	4.12884	7.30356E-3	-0.337548	-2.55846
106	Surface 17	28026	9.665	-159.181	-0.92	-230.791	-26.5354	-1.11506	-2.23609	1.94504	0.029914	0.286902	-2.27807
107	Surface 17	28031	9.665	-160.983	-0.92	-231.382	-26.7005	-2.15314	-2.2338	1.94132	0.0120875	-0.220862	-2.33306
108	Surface 17	28245	9.665	-159.181	0.0	-129.125	-2.87147	-1.2368	-1.2059	1.03618	0.0247753	0.0587825	-1.98838
109	Surface 17	28253	9.665	-160.983	0.0	-127.697	-2.57142	-2.64523	-1.21773	1.03197	5.33293E-3	-0.248476	-2.04059
110	Surface 24	27063	9.665	-20.819	-4.6	-590.286	-136.861	0.787758	-5.78644	5.34164	-0.0279788	-0.693422	2.55441
111	Surface 24	27071	9.665	-19.0166	-4.6	-590.358	-136.885	1.55453	-5.79059	5.34156	-0.0106062	0.622071	2.50679
112	Surface 24	27370	9.665	-20.819	-3.68	-508.718	-107.9	0.845932	-4.55303	6.78357	-0.0265731	-0.598896	0.280501
113	Surface 24	27375	9.665	-19.0166	-3.68	-508.775	-107.923	1.66711	-4.55539	6.78259	-7.90708E-3	0.539487	0.229783
114	Surface 24	27589	9.665	-20.819	-2.76	-420.997	-80.5071	0.926642	-3.66379	6.09528	-0.0289768	-0.498782	-1.80242
115	Surface 24	27594	9.665	-19.0166	-2.76	-421.11	-80.5578	1.77641	-3.66519	6.09354	-8.87045E-3	0.446925	-1.85496
116	Surface 24	27810	9.665	-20.819	-1.84	-327.902	-53.3293	1.01056	-2.96077	4.12856	-0.034802	-0.388143	-2.5023
117	Surface 24	27814	9.665	-19.0166	-1.84	-327.797	-53.3871	1.92946	-2.95976	4.12471	-0.0147483	0.348277	-2.5584
118	Surface 24	28029	9.665	-20.819	-0.92	-230.817	-26.5354	1.11696	-2.27729	1.94267	-0.0364032	-0.276895	-2.27732
119	Surface 24	28036	9.665	-19.0166	-0.92	-231.407	-26.7006	2.1552	-2.27176	1.93898	-0.0190266	0.23127	-2.33243
120	Surface 24	28248	9.665	-20.819	0.0	-129.15	-2.8714	1.2368	-1.24756	1.03495	-0.0308454	-0.0282401	-1.98744
121	Surface 24	28255	9.665	-19.0166	0.0	-127.721	-2.5715	2.64522	-1.25617	1.03064	-0.0119196	0.280712	-2.03982
122	Surface 26	27090	9.665	-13.3169	-4.6	-589.12	-137.035	-0.802161	-5.81894	5.34051	-0.0176723	3.19766	2.59494
123	Surface 26	27104	9.665	-7.74887	-4.6	-588.302	-137.209	-3.07825	-5.84133	5.34044	-0.0454784	1.37002	2.59625
124	Surface 26	27388	9.665	-13.3169	-3.68	-507.656	-108.125	-0.907524	-4.57828	6.78252	-0.0157219	2.76724	0.319378
125	Surface 26	27394	9.665	-7.74887	-3.68	-506.908	-108.359	-3.355	-4.59648	6.78297	-0.0462659	1.18471	0.317244
126	Surface 26	27606	9.665	-13.3169	-2.76	-420.106	-80.8461	-1.01788	-3.68273	6.0909	-0.0167336	2.29667	-1.76565
127	Surface 26	27612	9.665	-7.74887	-2.76	-419.495	-81.1903	-3.60525	-3.69838	6.08861	-0.0497259	0.979267	-1.77346
128	Surface 26	27827	9.665	-13.3169	-1.84	-327.264	-53.8415	-0.974091	-2.97692	4.11097	-0.0267686	1.77924	-2.4714
129	Surface 26	27833	9.665	-7.74887	-1.84	-326.882	-54.3414	-3.75575	-2.99133	4.09583	-0.0606924	0.757266	-2.49012
130	Surface 26	28046	9.665	-13.3169	-0.92	-230.839	-26.9061	-0.668102	-2.27225	1.92232	-0.037107	1.24568	-2.21961
131	Surface 26	28053	9.665	-7.74887	-0.92	-231.174	-27.2648	-3.14646	-2.27544	1.90159	-0.0727347	0.508825	-2.20295
132	Surface 26	28268	9.665	-13.3169	0.0	-133.415	-3.73529	-0.354829	-1.28569	1.00965	-0.0364769	0.907299	-1.9003
133	Surface 26	28272	9.665	-7.74887	0.0	-135.952	-4.18244	-2.40359	-1.31082	0.987335	-0.0749932	0.571539	-1.83504
134	Surface 27	27104	9.665	-7.74887	-4.6	-588.302	-137.209	-3.07825	-5.84133	5.34044	-0.0454784	1.37002	2.59625
135	Surface 27	27114	9.665	7.01648E-15	-4.6	-588.12	-137.309	2.27841	-5.83827	5.34535	0.0353709	-0.439246	2.60052
136	Surface 27	27394	9.665	-7.74887	-3.68	-506.908	-108.359	-3.355	-4.59648	6.78297	-0.0462659	1.18471	0.317244
137	Surface 27	27400	9.665	4.20989E-15	-3.68	-506.742	-108.482	2.45298	-4.59272	6.78689	0.0388801	-0.377798	0.316304
138	Surface 27	27612	9.665	-7.74887	-2.76	-419.495	-81.1903	-3.60525	-3.69838	6.08861	-0.0497259	0.979267	-1.77346
139	Surface 27	27619	9.665	1.4033E-15	-2.76	-419.363	-81.2982	2.63092	-3.69548	6.08621	0.0413946	-0.313307	-1.78055
140	Surface 27	27833	9.665	-7.74887	-1.84	-326.882	-54.3414	-3.75575	-2.99133	4.09583	-0.0606924	0.757266	-2.49012
141	Surface 27	27840	9.665	1.4033E-15	-1.84	-326.902	-54.3959	2.8202	-2.9888	4.08344	0.0423155	-0.246557	-2.49362
142	Surface 27	28053	9.665	-7.74887	-0.92	-231.174	-27.2648	-3.14646	-2.27544	1.90159	-0.0727347	0.508825	-2.20295
143	Surface 27	28060	9.665	4.20989E-15	-0.92	-231.345	-27.2836	2.43823	-2.26755	1.88779	0.0431514	-0.14765	-2.18601
144	Surface 27	28272	9.665	-7.74887	0.0	-135.952	-4.18244	-2.40359	-1.31082	0.987335	-0.0749932	0.571539	-1.83504
145	Surface 27	28280	9.665	0.0	0.0	-136.068	-4.17479	1.86973	-1.29895	0.977096	0.0416834	-0.223676	-1.80372
146	Surface 30	25876	9.665	7.01648E-15	-9.9	-1.05562E3	-308.816	3.40243	-22.2316	-49.2609	0.0482432	-0.813871	25.0222
147	Surface 30	25882	9.665	6.11244	-9.9	-1.05578E3	-308.697	0.0602914	-22.1823	-49.2474	0.0259205	-1.13464	24.9726
148	Surface 30	25889	9.665	12.2246	-9.9	-1.05603E3	-308.807	0.0824775	-22.0599	-49.2293	0.0309248	-2.60189	25.0443
149	Surface 30	25897	9.665	18.3371	-9.9	-1.05647E3	-308.718	7.52337	-21.9585	-49.1972	0.116262	-5.43223	24.9574
150	Surface 30	26164	9.665	7.01648E-15	-8.84	-938.305	-274.016	2.71921	-17.046	-30.2569	0.0391987	-0.717038	19.1076
151	Surface 30	26168	9.665	6.11242	-8.84	-938.57	-273.899	0.0434914	-16.9978	-30.2442	0.0236584	-1.00278	19.0649
152	Surface 30	26171	9.665	12.2246	-8.84	-938.791	-273.963	0.0539715	-16.8868	-30.2239	0.0295383	-2.30614	19.1188
153	Surface 30	26177	9.665	18.3371	-8.84	-939.369	-273.851	5.98005	-16.7927	-30.1953	0.0988287	-4.82213	19.0423
154	Surface 30	26384	9.665	7.01648E-15	-7.78	-844.501	-239.259	2.27237	-12.6602	-13.7937	0.0332464	-0.639843	11.9451
155	Surface 30	26387	9.665	6.11241	-7.78	-844.864	-239.15	0.0270864	-12.6138	-13.7823	0.0233217	-0.903072	11.9077
156	Surface 30	26392	9.665	12.2246	-7.78	-845.061	-239.158	0.0280205	-12.514	-13.7629	0.0301478	-2.07977	11.9482
157	Surface 30	26396	9.665	18.3371	-7.78	-845.759	-239.025	4.9763	-12.4282	-13.7403	0.0884532	-4.34792	11.8795
158	Surface 30	26604	9.665	7.01648E-15	-6.72	-759.691	-204.831	2.12919	-9.69183	-3.88891	0.0316579	-0.572347	6.73678
159	Surface 30	26608	9.665	6.11241	-6.72	-760.1	-204.733	0.0186742	-9.64831	-3.87926	0.0231846	-0.816276	6.70132
160	Surface 30	26612	9.665	12.2246	-6.72	-760.293	-204.697	0.016507	-9.56038	-3.86341	0.03017	-1.88072	6.73735
161	Surface 30	26618	9.665	18.3371	-6.72	-761.045	-204.551	4.67445	-9.48456	-3.84784	0.085179	-3.92784	6.67194
162	Surface 30	26822	9.665	7.01648E-15	-5.66	-675.629	-170.633	2.15698	-7.56242	1.85293	0.0326848	-0.506704	4.09358
163	Surface 30	26827	9.665	6.11242	-5.66	-676.047	-170.544	0.0238703	-7.52211	1.86115	0.0223469	-0.730189	4.05856
164	Surface 30	26832	9.665	12.2246	-5.66	-676.234	-170.467	0.0277721	-7.44553	1.8731	0.0284348	-1.68309	4.09634
165	Surface 30	26838	9.665	18.3371	-5.66	-676.989	-170.304	4.77602	-7.37977	1.88291	0.0843875	-3.5111	4.03308
166	Surface 30	27114	9.665	7.01648E-15	-4.6	-588.12	-137.309	2.27841	-5.83827	5.34535	0.0353709	-0.439246	2.60052
167	Surface 30	27118	9.665	6.11244	-4.6	-588.519	-137.219	0.0409054	-5.80097	5.35301	0.021117	-0.637452	2.5655
168	Surface 30	27124	9.665	12.2246	-4.6	-588.696	-137.1	0.0583176	-5.73406	5.36197	0.0257299	-1.47169	2.60829
169	Surface 30	27135	9.665	18.3371	-4.6	-589.414	-136.909	5.10727	-5.6767	5.36901	0.0853196	-3.06993	2.5473
170	Surface 31	25897	9.665	18.3371	-9.9	-1.05647E3	-308.718	7.52337	-21.9585	-49.1972	0.116262	-5.43223	24.9574
171	Surface 31	25909	9.665	20.819	-9.9	-1.05687E3	-308.567	0.276733	-21.9027	-49.1773	0.0326136	-3.7916	24.9254
172	Surface 31	26177	9.665	18.3371	-8.84	-939.369	-273.851	5.98005	-16.7927	-30.1953	0.0988287	-4.82213	19.0423
173	Surface 31	26182	9.665	20.819	-8.84	-939.913	-273.721	0.195871	-16.74	-30.1786	0.0316132	-3.36977	19.014
174	Surface 31	26396	9.665	18.3371	-7.78	-845.759	-239.025	4.9763	-12.4282	-13.7403	0.0884532	-4.34792	11.8795
