	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
86	Surface 15	27087	9.665	-166.683	-4.6	-585.184	-136.99	0.309275	2.26108	6.6478	0.457483	-3.94477	2.81381
87	Surface 15	27096	9.665	-172.251	-4.6	-584.068	-137.53	3.04997	2.7402	6.7755	0.233892	-1.7438	2.80574
88	Surface 15	27383	9.665	-166.683	-3.68	-503.291	-107.764	0.739079	3.78521	8.01544	0.441094	-3.49644	0.470754
89	Surface 15	27389	9.665	-172.251	-3.68	-502.271	-108.32	3.45743	4.25831	8.12961	0.218132	-1.53765	0.443319
90	Surface 15	27605	9.665	-166.683	-2.76	-415.315	-80.3812	1.12881	4.95042	7.16725	0.443982	-2.98828	-1.72071
91	Surface 15	27610	9.665	-172.251	-2.76	-414.499	-80.9773	3.7936	5.41252	7.25232	0.217294	-1.30243	-1.76766
92	Surface 15	27823	9.665	-166.683	-1.84	-322.199	-53.4456	1.25851	5.90726	4.90297	0.483581	-2.41779	-2.57327
93	Surface 15	27830	9.665	-172.251	-1.84	-321.746	-54.0997	3.95378	6.35715	4.94045	0.240581	-1.04735	-2.63547
94	Surface 15	28043	9.665	-166.683	-0.92	-226.021	-26.6562	0.929948	6.86304	2.33929	0.455577	-1.84377	-2.41665
95	Surface 15	28051	9.665	-172.251	-0.92	-226.446	-27.0822	3.26778	7.31172	2.33718	0.238245	-0.778832	-2.43163
96	Surface 15	28265	9.665	-166.683	0.0	-130.138	-3.80466	0.539173	7.89179	1.21385	0.417821	-2.79895	-2.10991
97	Surface 15	28271	9.665	-172.251	0.0	-132.801	-4.27838	2.46458	8.31495	1.19507	0.227293	-1.34704	-2.06595
98	Surface 17	27058	9.665	-159.181	-4.6	-587.085	-136.198	-1.83397	1.08888	6.38066	0.801847	-0.525565	2.77303
99	Surface 17	27069	9.665	-160.983	-4.6	-586.955	-136.383	-2.49471	1.41551	6.44989	0.708474	-1.75576	2.72792
100	Surface 17	27365	9.665	-159.181	-3.68	-505.097	-106.967	-1.28848	2.60879	7.76581	0.794872	-0.618252	0.462827
101	Surface 17	27372	9.665	-160.983	-3.68	-504.943	-107.143	-2.06335	2.93846	7.83052	0.697946	-1.66673	0.404139
102	Surface 17	27586	9.665	-159.181	-2.76	-416.878	-79.546	-0.773099	3.78291	6.96463	0.808335	-0.684662	-1.69016
103	Surface 17	27591	9.665	-160.983	-2.76	-416.78	-79.7362	-1.64803	4.11111	7.01817	0.708161	-1.53719	-1.76296
104	Surface 17	27807	9.665	-159.181	-1.84	-323.217	-52.5803	-0.391588	4.75787	4.7848	0.861413	-0.719406	-2.51184
105	Surface 17	27813	9.665	-160.983	-1.84	-322.978	-52.7448	-1.40527	5.08204	4.81692	0.758966	-1.36605	-2.59811
106	Surface 17	28026	9.665	-159.181	-0.92	-225.832	-26.1049	-0.465716	5.71135	2.30086	0.787672	-0.736258	-2.39991
107	Surface 17	28031	9.665	-160.983	-0.92	-226.447	-26.3227	-1.5982	6.0386	2.31095	0.695872	-1.16752	-2.48169
108	Surface 17	28245	9.665	-159.181	0.0	-125.325	-2.82792	-0.752785	6.78969	1.21528	0.714129	-3.27807	-2.14663
109	Surface 17	28253	9.665	-160.983	0.0	-124.154	-2.57873	-2.21843	7.09801	1.21308	0.641285	-3.30261	-2.21886
110	Surface 24	27063	9.665	-20.819	-4.6	-587.225	-137.735	2.8589	0.686069	6.4824	-0.687035	0.504116	2.65813
111	Surface 24	27071	9.665	-19.0166	-4.6	-587.147	-137.819	3.49664	1.01709	6.53977	-0.617436	1.74489	2.62039
112	Surface 24	27370	9.665	-20.819	-3.68	-505.379	-108.383	2.48328	2.09744	7.83247	-0.715505	0.608733	0.327518
113	Surface 24	27375	9.665	-19.0166	-3.68	-505.272	-108.442	3.20393	2.43788	7.88313	-0.64332	1.67162	0.282282
114	Surface 24	27589	9.665	-20.819	-2.76	-417.409	-80.7162	2.09619	3.15861	6.98508	-0.769761	0.708592	-1.83376
115	Surface 24	27594	9.665	-19.0166	-2.76	-417.345	-80.7862	2.87532	3.50778	7.02583	-0.69318	1.57835	-1.8864
116	Surface 24	27810	9.665	-20.819	-1.84	-324.201	-53.3715	1.68198	4.02789	4.76416	-0.860391	0.802885	-2.6295
117	Surface 24	27814	9.665	-19.0166	-1.84	-323.917	-53.4384	2.55843	4.38588	4.78832	-0.779209	1.46513	-2.69267
118	Surface 24	28029	9.665	-20.819	-0.92	-227.333	-26.5001	1.33579	4.89082	2.26868	-0.80563	0.886168	-2.45041
119	Surface 24	28036	9.665	-19.0166	-0.92	-227.742	-26.6677	2.35281	5.26435	2.27528	-0.729958	1.32483	-2.51735
120	Surface 24	28248	9.665	-20.819	0.0	-126.654	-2.96737	1.23208	5.94917	1.1916	-0.742916	3.5518	-2.1552
121	Surface 24	28255	9.665	-19.0166	0.0	-125.125	-2.6838	2.6181	6.30812	1.18698	-0.685022	3.62262	-2.22038
122	Surface 26	27090	9.665	-13.3169	-4.6	-585.483	-138.116	0.578323	1.9209	6.70468	-0.440614	3.9772	2.71043
123	Surface 26	27104	9.665	-7.74887	-4.6	-584.391	-138.39	-2.30029	2.48652	6.80779	-0.269908	1.81	2.72169
124	Surface 26	27388	9.665	-13.3169	-3.68	-503.692	-108.727	0.18485	3.36876	8.03412	-0.459363	3.55195	0.368466
125	Surface 26	27394	9.665	-7.74887	-3.68	-502.649	-109.016	-2.74009	3.95172	8.12765	-0.283586	1.6271	0.370991
126	Surface 26	27606	9.665	-13.3169	-2.76	-415.853	-81.1092	-0.233916	4.46503	7.15009	-0.49559	3.07963	-1.80888
127	Surface 26	27612	9.665	-7.74887	-2.76	-414.927	-81.4755	-3.16166	5.06353	7.22499	-0.308385	1.42051	-1.81927
128	Surface 26	27827	9.665	-13.3169	-1.84	-322.883	-53.8946	-0.517007	5.36543	4.86566	-0.562185	2.5516	-2.62666
129	Surface 26	27833	9.665	-7.74887	-1.84	-322.18	-54.3924	-3.48606	5.97791	4.90481	-0.352069	1.19283	-2.65672
130	Surface 26	28046	9.665	-13.3169	-0.92	-226.719	-26.8627	-0.505001	6.27833	2.30853	-0.534807	2.00994	-2.42594
131	Surface 26	28053	9.665	-7.74887	-0.92	-226.749	-27.2127	-3.03124	6.91235	2.3124	-0.342524	0.940695	-2.42648
