	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
124	Surface 26	27388	9.665	-13.3169	-3.68	-497.125	-107.839	1.02525	17.8809	10.4463	1.40167	3.17487	0.0180847
125	Surface 26	27394	9.665	-7.74887	-3.68	-496.488	-108.896	-1.92664	17.7903	10.4296	1.67016	0.784388	-3.18209E-3
126	Surface 26	27606	9.665	-13.3169	-2.76	-409.853	-80.4134	0.814828	18.9842	9.05469	1.36918	2.69096	-2.33815
127	Surface 26	27612	9.665	-7.74887	-2.76	-409.24	-81.2657	-2.06728	18.9027	9.02125	1.6596	0.596286	-2.34465
128	Surface 26	27827	9.665	-13.3169	-1.84	-318.21	-53.4212	0.606026	19.8713	6.1116	1.3116	2.18534	-3.26959
129	Surface 26	27833	9.665	-7.74887	-1.84	-317.623	-54.1636	-2.25569	19.8071	6.06503	1.65491	0.415244	-3.27139
130	Surface 26	28046	9.665	-13.3169	-0.92	-224.688	-26.5812	0.35671	20.7946	2.88236	1.04146	1.68914	-2.96821
131	Surface 26	28053	9.665	-7.74887	-0.92	-224.415	-27.0246	-2.05265	20.7603	2.84016	1.3758	0.216725	-2.93386
132	Surface 26	28268	9.665	-13.3169	0.0	-133.119	-4.2387	0.235459	21.748	1.4419	0.791925	-1.25259	-2.50906
133	Surface 26	28272	9.665	-7.74887	0.0	-134.308	-4.63507	-1.69634	21.7091	1.40645	1.10926	-3.59269	-2.43224
134	Surface 27	27104	9.665	-7.74887	-4.6	-578.088	-138.45	-1.87055	16.2962	9.47483	1.67826	0.978411	2.51336
135	Surface 27	27114	9.665	7.01648E-15	-4.6	-578.482	-139.669	2.31488	15.3188	9.29289	2.12637	-1.73791	2.50191
136	Surface 27	27394	9.665	-7.74887	-3.68	-496.488	-108.896	-1.92664	17.7903	10.4296	1.67016	0.784388	-3.18209E-3
137	Surface 27	27400	9.665	4.20989E-15	-3.68	-496.817	-109.815	2.94996	16.808	10.2517	2.13277	-1.66617	0.0178
138	Surface 27	27612	9.665	-7.74887	-2.76	-409.24	-81.2657	-2.06728	18.9027	9.02125	1.6596	0.596286	-2.34465
139	Surface 27	27619	9.665	1.4033E-15	-2.76	-409.462	-81.8903	3.46576	17.9269	8.87065	2.16538	-1.56291	-2.2934
140	Surface 27	27833	9.665	-7.74887	-1.84	-317.623	-54.1636	-2.25569	19.8071	6.06503	1.65491	0.415244	-3.27139
141	Surface 27	27840	9.665	1.4033E-15	-1.84	-317.728	-54.508	3.81071	18.8471	5.96118	2.23886	-1.4322	-3.19533
142	Surface 27	28053	9.665	-7.74887	-0.92	-224.415	-27.0246	-2.05265	20.7603	2.84016	1.3758	0.216725	-2.93386
143	Surface 27	28060	9.665	4.20989E-15	-0.92	-224.201	-27.1708	3.20892	19.8253	2.78821	1.94663	-1.27837	-2.85597
144	Surface 27	28272	9.665	-7.74887	0.0	-134.308	-4.63507	-1.69634	21.7091	1.40645	1.10926	-3.59269	-2.43224
145	Surface 27	28280	9.665	0.0	0.0	-133.26	-4.59369	2.38088	20.7913	1.3794	1.6517	-6.65554	-2.36215
146	Surface 30	25876	9.665	7.01648E-15	-9.9	-1.04648E3	-320.118	0.712621	-3.26578	-44.7848	2.05289	-1.76981	25.5628
147	Surface 30	25882	9.665	6.11244	-9.9	-1.04746E3	-321.01	-5.19125	-4.73539	-45.01	2.45834	-2.96907	25.3871
148	Surface 30	25889	9.665	12.2246	-9.9	-1.04884E3	-321.155	-7.56794	-6.88711	-45.441	2.80682	-5.14586	25.3474
149	Surface 30	25897	9.665	18.3371	-9.9	-1.05035E3	-320.133	-2.11043	-9.16419	-45.9314	3.12769	-8.48325	25.0932
150	Surface 30	26164	9.665	7.01648E-15	-8.84	-929.417	-283.386	0.430016	2.4859	-25.7171	2.09661	-1.77762	19.5451
151	Surface 30	26168	9.665	6.11242	-8.84	-930.532	-284.228	-4.53366	0.920918	-25.9837	2.46629	-2.94632	19.3889
152	Surface 30	26171	9.665	12.2246	-8.84	-931.893	-284.398	-6.69563	-1.34286	-26.4447	2.78269	-4.96488	19.3438
153	Surface 30	26177	9.665	18.3371	-8.84	-933.546	-283.548	-2.57679	-3.72068	-26.9599	3.06655	-7.99376	19.1187
154	Surface 30	26384	9.665	7.01648E-15	-7.78	-835.646	-246.513	0.588485	7.3657	-9.25739	2.12406	-1.79302	12.2741
155	Surface 30	26387	9.665	6.11241	-7.78	-836.877	-247.278	-3.72848	5.71822	-9.5649	2.46093	-2.94091	12.1409
156	Surface 30	26392	9.665	12.2246	-7.78	-838.223	-247.451	-5.72219	3.35587	-10.0556	2.75027	-4.8375	12.0993
157	Surface 30	26396	9.665	18.3371	-7.78	-840.018	-246.781	-2.43986	0.887455	-10.5932	3.00707	-7.62419	11.9048
158	Surface 30	26604	9.665	7.01648E-15	-6.72	-750.71	-210.2	1.04773	10.7641	0.565743	2.13419	-1.79943	6.95149
159	Surface 30	26608	9.665	6.11241	-6.72	-751.994	-210.866	-2.9175	9.04902	0.226063	2.44382	-2.92823	6.84269
160	Surface 30	26612	9.665	12.2246	-6.72	-753.348	-211.027	-4.7292	6.60152	-0.286323	2.71452	-4.71738	6.818
161	Surface 30	26618	9.665	18.3371	-6.72	-755.226	-210.512	-1.58651	4.05205	-0.836473	2.95958	-7.28952	6.65383
162	Surface 30	26822	9.665	7.01648E-15	-5.66	-666.364	-174.353	1.66123	13.267	6.1199	2.13148	-1.78399	4.16839
163	Surface 30	26827	9.665	6.11242	-5.66	-667.655	-174.9	-2.0948	11.5007	5.76356	2.4226	-2.89083	4.08826
164	Surface 30	26832	9.665	12.2246	-5.66	-669.02	-175.03	-3.6966	8.98256	5.24652	2.6841	-4.57331	4.09271
165	Surface 30	26838	9.665	18.3371	-5.66	-670.941	-174.637	-0.295782	6.36303	4.70356	2.92991	-6.9335	3.96511
166	Surface 30	27114	9.665	7.01648E-15	-4.6	-578.482	-139.669	2.31488	15.3188	9.29289	2.12637	-1.73791	2.50191
167	Surface 30	27118	9.665	6.11244	-4.6	-579.738	-140.08	-1.29103	13.5178	8.94195	2.41235	-2.81613	2.45501
168	Surface 30	27124	9.665	12.2246	-4.6	-581.11	-140.16	-2.65116	10.9435	8.44498	2.67654	-4.38457	2.49772
169	Surface 30	27135	9.665	18.3371	-4.6	-583.036	-139.844	1.23813	8.26558	7.93758	2.93498	-6.52243	2.41464
170	Surface 31	25897	9.665	18.3371	-9.9	-1.05035E3	-320.133	-2.11043	-9.16419	-45.9314	3.12769	-8.48325	25.0932
171	Surface 31	25909	9.665	20.819	-9.9	-1.05157E3	-319.44	-10.48	-10.8489	-46.2919	3.13336	-7.16432	25.067
172	Surface 31	26177	9.665	18.3371	-8.84	-933.546	-283.548	-2.57679	-3.72068	-26.9599	3.06655	-7.99376	19.1187
173	Surface 31	26182	9.665	20.819	-8.84	-934.907	-282.985	-9.39815	-5.4735	-27.3349	3.08075	-6.86502	19.0947
174	Surface 31	26396	9.665	18.3371	-7.78	-840.018	-246.781	-2.43986	0.887455	-10.5932	3.00707	-7.62419	11.9048
175	Surface 31	26403	9.665	20.819	-7.78	-841.513	-246.359	-8.24499	-0.927662	-10.9796	3.02654	-6.64609	11.8821
176	Surface 31	26618	9.665	18.3371	-6.72	-755.226	-210.512	-1.58651	4.05205	-0.836473	2.95958	-7.28952	6.65383
