	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
102	Line 25145	3196	9.665	-151.879	-65.7	32.2483	-0.586271	-314.581	0.0	-281.321	-1.3701E-3
103	Line 25145	3129	8.9	-142.018	-65.7	40.5484	1.59124	-315.951	0.0	-328.82	-7.88714E-3
104	Line 25145	3142	9.665	-146.948	-65.7	100.211	0.442909	-923.21	0.0	-1.41098E3	3.97672E-3
105	Line 25145	3097	9.665	-142.018	-65.7	40.5484	1.59124	-315.951	0.0	-328.82	-7.88714E-3
106	Line 25148	3308	8.9	-156.815	-65.7	19.7213	-2.24304	-184.689	0.0	-290.993	5.03677E-3
107	Line 25148	3288	8.9	-155.08	-65.7	16.063	-1.35024	-153.103	0.0	-235.944	2.42125E-3
108	Line 25148	3280	9.665	-156.815	-65.7	19.7213	-2.24304	-184.689	0.0	-290.993	5.03677E-3
109	Line 25148	3247	9.665	-155.08	-65.7	16.063	-1.35024	-153.103	0.0	-235.944	2.42125E-3
110	Line 25151	3388	8.9	-160.983	-65.7	12.5709	-1.83074	-99.8635	0.0	-66.3387	2.6826E-3
111	Line 25151	3347	8.9	-159.181	-65.7	19.8436	-2.74711	-182.848	0.0	-385.837	2.56603E-3
112	Line 25151	3353	9.665	-160.983	-65.7	12.5709	-1.83074	-99.8635	0.0	-66.3387	2.6826E-3
113	Line 25151	3321	9.665	-159.181	-65.7	19.8436	-2.74711	-182.848	0.0	-385.837	2.56603E-3
114	Line 25152	3347	8.9	-159.181	-65.7	19.8436	-2.74711	-182.848	0.0	-385.837	2.56603E-3
115	Line 25152	3308	8.9	-156.815	-65.7	19.7213	-2.24304	-184.689	0.0	-290.993	5.03677E-3
116	Line 25152	3321	9.665	-159.181	-65.7	19.8436	-2.74711	-182.848	0.0	-385.837	2.56603E-3
117	Line 25152	3280	9.665	-156.815	-65.7	19.7213	-2.24304	-184.689	0.0	-290.993	5.03677E-3
118	Line 25153	3926	8.9	142.018	-65.7	54.0582	0.638795	-338.178	0.0	-354.597	7.82409E-3
119	Line 25153	3868	8.9	147.44	-65.7	58.8509	-1.18711	-360.064	0.0	-400.682	1.43076E-3
120	Line 25153	3952	9.665	142.018	-65.7	54.0582	0.638795	-338.178	0.0	-354.597	7.82409E-3
121	Line 25153	3908	9.665	147.44	-65.7	58.8509	-1.18711	-360.064	0.0	-400.682	1.43076E-3
122	Line 25154	3868	8.9	147.44	-65.7	58.8509	-1.18711	-360.064	0.0	-400.682	1.43076E-3
123	Line 25154	3836	8.9	149.628	-65.7	32.3709	-1.02334	-210.33	0.0	-323.327	-2.30358E-3
124	Line 25154	3908	9.665	147.44	-65.7	58.8509	-1.18711	-360.064	0.0	-400.682	1.43076E-3
125	Line 25154	3876	9.665	149.628	-65.7	32.3709	-1.02334	-210.33	0.0	-323.327	-2.30358E-3
126	Line 25157	3399	8.9	-161.663	-65.7	32.0482	-4.24921	-225.879	0.0	-104.122	4.61342E-3
127	Line 25157	3388	8.9	-160.983	-65.7	12.5709	-1.83074	-99.8635	0.0	-66.3387	2.6826E-3
128	Line 25157	3370	9.665	-161.663	-65.7	32.0482	-4.24921	-225.879	0.0	-104.122	4.61342E-3
129	Line 25157	3353	9.665	-160.983	-65.7	12.5709	-1.83074	-99.8635	0.0	-66.3387	2.6826E-3
130	Line 25160	3452	8.9	-166.683	-65.7	56.1058	-8.63666	-456.655	0.0	-774.5	-5.44477E-3
131	Line 25160	3399	8.9	-161.663	-65.7	32.0482	-4.24921	-225.879	0.0	-104.122	4.61342E-3
132	Line 25160	3438	9.665	-166.683	-65.7	56.1058	-8.63666	-456.655	0.0	-774.5	-5.44477E-3
133	Line 25160	3370	9.665	-161.663	-65.7	32.0482	-4.24921	-225.879	0.0	-104.122	4.61342E-3
134	Line 25161	3502	8.9	-172.251	-65.7	78.9749	-12.1332	-590.051	0.0	-886.554	0.0112931
135	Line 25161	3452	8.9	-166.683	-65.7	56.1058	-8.63666	-456.655	0.0	-774.5	-5.44477E-3
136	Line 25161	3494	9.665	-172.251	-65.7	78.9749	-12.1332	-590.051	0.0	-886.554	0.0112931
137	Line 25161	3438	9.665	-166.683	-65.7	56.1058	-8.63666	-456.655	0.0	-774.5	-5.44477E-3
138	Line 25164	3783	8.9	153.466	-65.7	25.6416	-0.696735	-178.543	0.0	-296.956	-2.47932E-3
139	Line 25164	3734	8.9	155.788	-65.7	21.1024	-0.251844	-145.901	0.0	-170.956	-0.51008E-3
140	Line 25164	3815	9.665	153.466	-65.7	25.6416	-0.696735	-178.543	0.0	-296.956	-2.47932E-3
141	Line 25164	3773	9.665	155.788	-65.7	21.1024	-0.251844	-145.901	0.0	-170.956	-0.51008E-3
142	Line 25167	3836	8.9	149.628	-65.7	32.3709	-1.02334	-210.33	0.0	-323.327	-2.30358E-3
143	Line 25167	3799	8.9	151.879	-65.7	26.341	-0.891726	-178.475	0.0	-239.394	-2.39142E-3
144	Line 25167	3876	9.665	149.628	-65.7	32.3709	-1.02334	-210.33	0.0	-323.327	-2.30358E-3
145	Line 25167	3849	9.665	151.879	-65.7	26.341	-0.891726	-178.475	0.0	-239.394	-2.39142E-3
146	Line 25168	3799	8.9	151.879	-65.7	26.341	-0.891726	-178.475	0.0	-239.394	-2.39142E-3
147	Line 25168	3783	8.9	153.466	-65.7	25.6416	-0.696735	-178.543	0.0	-296.956	-2.47932E-3
148	Line 25168	3849	9.665	151.879	-65.7	26.341	-0.891726	-178.475	0.0	-239.394	-2.39142E-3
149	Line 25168	3815	9.665	153.466	-65.7	25.6416	-0.696735	-178.543	0.0	-296.956	-2.47932E-3
150	Line 25169	3734	8.9	155.788	-65.7	21.1024	-0.251844	-145.901	0.0	-170.956	-0.51008E-3
151	Line 25169	3720	8.9	156.815	-65.7	21.3281	0.0293839	-144.924	0.0	-141.53	-1.21593E-3
152	Line 25169	3773	9.665	155.788	-65.7	21.1024	-0.251844	-145.901	0.0	-170.956	-0.51008E-3
153	Line 25169	3756	9.665	156.815	-65.7	21.3281	0.0293839	-144.924	0.0	-141.53	-1.21593E-3
154	Line 25170	3720	8.9	156.815	-65.7	21.3281	0.0293839	-144.924	0.0	-141.53	-1.21593E-3
155	Line 25170	3685	8.9	159.181	-65.7	28.3013	0.679061	-208.8	0.0	-389.432	3.68907E-3
156	Line 25170	3756	9.665	156.815	-65.7	21.3281	0.0293839	-144.924	0.0	-141.53	-1.21593E-3
157	Line 25170	3707	9.665	159.181	-65.7	28.3013	0.679061	-208.8	0.0	-389.432	3.68907E-3
158	Line 25171	3685	8.9	159.181	-65.7	28.3013	0.679061	-208.8	0.0	-389.432	3.68907E-3
159	Line 25171	3646	8.9	161.663	-65.7	60.9428	1.02783	-364.864	0.0	-444.956	-4.15479E-3
160	Line 25171	3707	9.665	159.181	-65.7	28.3013	0.679061	-208.8	0.0	-389.432	3.68907E-3
161	Line 25171	3668	9.665	161.663	-65.7	60.9428	1.02783	-364.864	0.0	-444.956	-4.15479E-3
162	Line 25206	2993	8.9	-62.318	-65.7	70.529	-0.966608	-508.524	0.0	-767.157	-0.521922E-3
163	Line 25206	2953	9.665	-62.318	-65.7	70.529	-0.966608	-508.524	0.0	-767.157	-0.521922E-3
164	Line 25206	3017	8.9	-56.769	-65.7	143.944	5.21314	-1.02228E3	0.0	-1.57021E3	0.27309E-3
165	Line 25206	2984	9.665	-56.769	-65.7	143.944	5.21314	-1.02228E3	0.0	-1.57021E3	0.27309E-3
166	Line 25206	3037	8.9	-51.2201	-65.7	174.316	11.1243	-1.02998E3	0.0	-1.60902E3	-1.40703E-3
167	Line 25206	3066	8.9	-45.6711	-65.7	207.958	8.76514	-1.01857E3	0.0	-1.63424E3	1.16075E-3
168	Line 25206	3013	9.665	-51.2201	-65.7	174.316	11.1243	-1.02998E3	0.0	-1.60902E3	-1.40703E-3
169	Line 25206	3042	9.665	-45.6711	-65.7	207.958	8.76514	-1.01857E3	0.0	-1.63424E3	1.16075E-3
170	Line 25206	3112	8.9	-40.1221	-65.7	73.8702	0.679969	-329.296	0.0	-371.755	2.91559E-3
171	Line 25206	3079	9.665	-40.1221	-65.7	73.8702	0.679969	-329.296	0.0	-371.755	2.91559E-3
172	Line 25207	3112	8.9	-40.1221	-65.7	73.8702	0.679969	-329.296	0.0	-371.755	2.91559E-3
173	Line 25207	3079	9.665	-40.1221	-65.7	73.8702	0.679969	-329.296	0.0	-371.755	2.91559E-3
174	Line 25207	3131	8.9	-37.9822	-65.7	67.9141	0.251746	-321.809	0.0	-352.594	6.63161E-3
175	Line 25207	3102	9.665	-37.9822	-65.7	67.9141	0.251746	-321.809	0.0	-352.594	6.63161E-3
176	Line 25208	3942	8.9	40.1221	-65.7	57.0636	6.94214	-325.173	0.0	-378.033	-5.10191E-3
177	Line 25208	3979	9.665	40.1221	-65.7	57.0636	6.94214	-325.173	0.0	-378.033	-5.10191E-3
178	Line 25208	3987	8.9	45.6711	-65.7	182.874	12.1533	-1.04246E3	0.0	-1.64231E3	-6.86975E-3
179	Line 25208	4012	9.665	45.6711	-65.7	182.874	12.1533	-1.04246E3	0.0	-1.64231E3	-6.86975E-3
180	Line 25208	4015	8.9	51.2201	-65.7	162.617	5.97762	-1.03887E3	0.0	-1.64272E3	-1.76415E-3
181	Line 25208	4042	9.665	51.2201	-65.7	162.617	5.97762	-1.03887E3	0.0	-1.64272E3	-1.76415E-3
182	Line 25208	4059	8.9	62.318	-65.7	69.0967	5.67286	-516.553	0.0	-787.834	-0.689773E-3
183	Line 25208	4038	8.9	56.769	-65.7	138.369	7.5176	-1.03052E3	0.0	-1.60645E3	-2.68863E-3
184	Line 25208	4071	9.665	56.769	-65.7	138.369	7.5176	-1.03052E3	0.0	-1.60645E3	-2.68863E-3
185	Line 25208	4104	9.665	62.318	-65.7	69.0967	5.67286	-516.553	0.0	-787.834	-0.689773E-3
186	Line 25209	3942	8.9	40.1221	-65.7	57.0636	6.94214	-325.173	0.0	-378.033	-5.10191E-3
187	Line 25209	3927	8.9	37.9822	-65.7	48.1112	6.14478	-332.254	0.0	-356.414	-8.16929E-3
188	Line 25209	3960	9.665	37.9822	-65.7	48.1112	6.14478	-332.254	0.0	-356.414	-8.16929E-3
189	Line 25209	3979	9.665	40.1221	-65.7	57.0636	6.94214	-325.173	0.0	-378.033	-5.10191E-3
190	Line 25210	3111	8.9	-139.878	-65.7	48.9316	3.18052	-319.274	0.0	-349.396	-3.45771E-3
191	Line 25210	3075	9.665	-139.878	-65.7	48.9316	3.18052	-319.274	0.0	-349.396	-3.45771E-3
192	Line 25210	3064	8.9	-134.329	-65.7	170.482	7.1814	-979.605	0.0	-1.54783E3	-1.93689E-3
193	Line 25210	3040	9.665	-134.329	-65.7	170.482	7.1814	-979.605	0.0	-1.54783E3	-1.93689E-3
194	Line 25210	3016	8.9	-123.231	-65.7	179.93	-4.3158	-950.131	0.0	-1.54927E3	-0.294376E-3
195	Line 25210	3036	8.9	-128.78	-65.7	195.399	1.13319	-969.098	0.0	-1.56795E3	1.5531E-3
196	Line 25210	3010	9.665	-128.78	-65.7	195.399	1.13319	-969.098	0.0	-1.56795E3	1.5531E-3
197	Line 25210	2992	8.9	-117.682	-65.7	82.1632	-1.9063	-472.982	0.0	-759.225	0.602761E-3
198	Line 25210	2981	9.665	-123.231	-65.7	179.93	-4.3158	-950.131	0.0	-1.54927E3	-0.294376E-3
199	Line 25210	2947	9.665	-117.682	-65.7	82.1632	-1.9063	-472.982	0.0	-759.225	0.602761E-3
200	Line 25211	3129	8.9	-142.018	-65.7	40.5484	1.59124	-315.951	0.0	-328.82	-7.88714E-3
201	Line 25211	3111	8.9	-139.878	-65.7	48.9316	3.18052	-319.274	0.0	-349.396	-3.45771E-3
202	Line 25211	3097	9.665	-142.018	-65.7	40.5484	1.59124	-315.951	0.0	-328.82	-7.88714E-3
203	Line 25211	3075	9.665	-139.878	-65.7	48.9316	3.18052	-319.274	0.0	-349.396	-3.45771E-3
204	Line 25212	4058	8.9	117.682	-65.7	83.9303	-4.44882	-519.319	0.0	-790.291	0.908117E-3
205	Line 25212	4037	8.9	123.231	-65.7	137.214	-9.60238	-1.03541E3	0.0	-1.6001E3	3.17501E-3
206	Line 25212	4100	9.665	117.682	-65.7	83.9303	-4.44882	-519.319	0.0	-790.291	0.908117E-3
207	Line 25212	4067	9.665	123.231	-65.7	137.214	-9.60238	-1.03541E3	0.0	-1.6001E3	3.17501E-3
208	Line 25212	4014	8.9	128.78	-65.7	124.005	-5.46501	-1.04723E3	0.0	-1.61732E3	1.6053E-3
209	Line 25212	4041	9.665	128.78	-65.7	124.005	-5.46501	-1.04723E3	0.0	-1.61732E3	1.6053E-3
210	Line 25212	3986	8.9	134.329	-65.7	127.595	-0.693221	-1.06083E3	0.0	-1.60198E3	6.33917E-3
211	Line 25212	3941	8.9	139.878	-65.7	50.0134	0.192256	-333.138	0.0	-371.698	4.85543E-3
